addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
41110,0.9789345657990757,0.9308748403575989,0.953,0.872,"Counter({2: 1932, 3: 614, 4: 454, 5: 74, 6: 44, 7: 26, 8: 12, 9: 7, 12: 7, 10: 6, 11: 6, 13: 4, 24: 2, 14: 2, 21: 1, 60: 1, 31: 1, 18: 1})",3000,194,3,0,0,0
41200,0.9760194174757282,0.9213250517598343,0.95,0.865,"Counter({2: 1933, 3: 622, 4: 443, 5: 72, 6: 38, 7: 26, 8: 14, 12: 10, 10: 6, 9: 6, 11: 5, 24: 2, 13: 2, 21: 1, 59: 1, 31: 1, 14: 1, 18: 1})",2998,186,3,0,1,0
41143,0.9781250759545974,0.9282525510204082,0.952,0.871,"Counter({2: 1923, 3: 625, 4: 452, 5: 73, 6: 39, 7: 28, 8: 15, 12: 8, 10: 7, 11: 6, 9: 6, 14: 2, 13: 2, 21: 1, 58: 1, 25: 1, 19: 1, 18: 1, 24: 1})",3000,192,3,0,1,0
41389,0.9759356350721207,0.9215006305170238,0.952,0.867,"Counter({2: 2052, 3: 544, 4: 446, 5: 52, 6: 41, 7: 21, 8: 10, 9: 9, 10: 8, 12: 6, 11: 4, 18: 2, 14: 2, 13: 2, 27: 1, 15: 1, 17: 1, 28: 1, 24: 1})",3042,162,3,0,1,0
41599,0.9750474771028149,0.9191210846189808,0.953,0.87,"Counter({2: 2066, 3: 568, 4: 433, 5: 52, 6: 35, 7: 22, 8: 14, 10: 7, 12: 7, 9: 6, 11: 5, 13: 3, 14: 1, 17: 1, 24: 1})",3067,154,1,0,1,0
41433,0.9800400646827409,0.9358168412883198,0.957,0.882,"Counter({2: 2073, 3: 547, 4: 474, 5: 57, 6: 37, 7: 23, 8: 14, 12: 8, 10: 7, 9: 6, 11: 4, 14: 3, 13: 3, 18: 1, 17: 1, 24: 1})",3094,165,3,0,1,0
42505,0.9834607693212564,0.9480375489688817,0.976,0.931,"Counter({2: 2279, 3: 564, 4: 459, 5: 44, 6: 25, 7: 8, 8: 5, 11: 2, 20: 1, 12: 1, 9: 1, 13: 1, 10: 1})",3302,89,10,0,0,0
42955,0.9791642416482366,0.9352996457745969,0.976,0.928,"Counter({2: 2330, 3: 553, 4: 452, 5: 26, 6: 16, 8: 3, 7: 2, 14: 1, 9: 1})",3335,49,2,0,0,0
