Task,Annotations,Exploit_Score,Explore_Score,Task-F1
yelp_3__zomato_2,9,,,0.926
yelp_2__zomato_2,17,,,0.95
yelp_2__yelp_3,11,,,0.964
yellow_pages_1__zomato_2,18,,,0.917
yellow_pages_1__yelp_3,145,,,0.913
yellow_pages_1__yelp_2,12,,,0.945
