addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
43006,0.986676277728689,0.9592141789451206,0.986,0.959,"Counter({2: 2351, 3: 584, 4: 488, 5: 44, 6: 5, 7: 2, 9: 1, 8: 1})",3423,53,9,0,0,0,
41979,0.9902332118440172,0.9692975887374569,0.979,0.942,"Counter({2: 2058, 3: 636, 4: 529, 5: 77, 6: 35, 7: 15, 8: 11, 9: 8, 10: 7, 11: 5, 18: 2, 13: 1})",3223,161,25,0,0,0,
42122,0.9898152984188785,0.9682997118155621,0.979,0.943,"Counter({2: 2067, 3: 640, 4: 539, 5: 66, 6: 31, 7: 14, 8: 10, 9: 8, 10: 5, 11: 5, 13: 1, 15: 1, 12: 1, 18: 1})",3246,143,23,0,0,0,
42263,0.9895180181246007,0.9675338951997069,0.981,0.946,"Counter({2: 2095, 3: 642, 4: 541, 5: 70, 6: 24, 7: 11, 9: 9, 8: 9, 11: 5, 10: 2, 18: 2})",3278,132,17,0,1,0,
42672,0.9882592800899888,0.9639697950377563,0.984,0.954,"Counter({2: 2201, 3: 633, 4: 517, 5: 56, 6: 13, 7: 8, 8: 7, 9: 2, 11: 2, 10: 1, 13: 1})",3351,90,8,0,2,0,
42636,0.9889999061825687,0.9662517090019428,0.984,0.956,"Counter({2: 2193, 3: 641, 4: 522, 5: 62, 6: 15, 7: 8, 8: 8, 9: 3, 11: 2})",3356,98,10,0,1,0,
43081,0.9833337202014809,0.9485230857470605,0.983,0.95,"Counter({2: 2355, 3: 536, 4: 470, 5: 41, 6: 3})",3361,44,5,0,0,0,
43078,0.9826361483820047,0.9464336866227443,0.982,0.947,"Counter({2: 2334, 3: 538, 4: 477, 5: 40, 6: 4})",3349,44,6,0,0,0,
43092,0.9811101828645689,0.9416152632333954,0.981,0.942,"Counter({2: 2306, 3: 540, 4: 473, 5: 39, 6: 4})",3319,43,3,0,0,0,
43060,0.9805155596841616,0.9394966467152231,0.98,0.94,"Counter({2: 2271, 3: 528, 4: 476, 5: 40, 6: 4, 8: 1})",3275,45,5,0,0,0,
43001,0.9836515429873723,0.9495152603231598,0.983,0.949,"Counter({2: 2342, 3: 536, 4: 482, 5: 43, 6: 5, 13: 1, 8: 1})",3360,50,2,0,0,0,
43003,0.9833267446457223,0.9484654639545749,0.982,0.948,"Counter({2: 2343, 3: 538, 4: 479, 5: 43, 6: 4, 11: 1, 8: 1, 9: 1})",3360,50,3,0,0,0,
