addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
42699,0.9800932106138317,0.9378564117561048,0.973,0.923,"Counter({2: 2318, 3: 529, 4: 460, 5: 36, 6: 16, 8: 7, 7: 6, 14: 1, 9: 1, 10: 1, 13: 1, 11: 1})",3307,70,6,0,0,0,
43291,0.9811046175879513,0.9424672949781967,0.981,0.943,"Counter({2: 2380, 3: 541, 4: 476, 5: 20, 6: 1})",3397,21,3,0,0,0,
43165,0.9810726282868064,0.9420197289049748,0.98,0.941,"Counter({2: 2356, 3: 531, 4: 482, 5: 23, 6: 6, 8: 2, 9: 1, 7: 1})",3369,33,4,0,0,0,
43065,0.9831185417392314,0.9480751374901794,0.982,0.947,"Counter({2: 2369, 3: 535, 4: 482, 5: 35, 6: 6, 8: 2, 7: 1, 10: 1})",3386,45,7,0,0,0,
42872,0.984185482366113,0.950890916992612,0.982,0.947,"Counter({2: 2347, 3: 543, 4: 474, 5: 41, 6: 7, 7: 4, 9: 4, 8: 3, 10: 2})",3364,61,4,0,0,0,
42822,0.9835131474475737,0.9487142234490775,0.981,0.944,"Counter({2: 2323, 3: 546, 4: 479, 5: 43, 6: 7, 7: 6, 8: 5, 9: 2, 10: 2, 12: 1})",3348,66,5,0,0,0,
42951,0.9836557938115527,0.9494818652849742,0.982,0.946,"Counter({2: 2355, 3: 536, 4: 478, 5: 37, 6: 8, 7: 4, 8: 3, 9: 2, 10: 1})",3369,55,4,0,0,0,
42984,0.9814116880699796,0.9427527405602923,0.979,0.939,"Counter({2: 2320, 3: 543, 4: 490, 5: 38, 6: 7, 7: 5, 8: 4, 9: 1})",3353,55,7,0,0,0,
42944,0.9810683681073026,0.9416409446558036,0.978,0.936,"Counter({2: 2303, 3: 543, 4: 491, 5: 37, 6: 7, 7: 6, 8: 5, 10: 2, 9: 1, 1: 1})",3338,58,8,0,1,1,
43023,0.9813123213165051,0.9425550157187769,0.979,0.939,"Counter({2: 2333, 3: 539, 4: 490, 5: 34, 6: 6, 8: 3, 7: 3, 9: 2, 10: 1, 1: 1})",3363,49,4,0,1,1,
43004,0.9814668402939262,0.9430185171945379,0.979,0.939,"Counter({2: 2323, 3: 540, 4: 491, 5: 34, 6: 8, 8: 3, 7: 3, 10: 2, 9: 1, 1: 1})",3355,51,6,0,1,1,
42956,0.9813530123847658,0.9424858189129031,0.979,0.938,"Counter({2: 2327, 3: 543, 4: 484, 5: 37, 6: 7, 7: 5, 8: 4, 10: 2, 9: 1, 1: 1})",3355,56,7,0,1,1,
