addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
42789,0.9860478160274837,0.9570596274185428,0.983,0.95,"Counter({2: 2209, 3: 641, 4: 496, 5: 54, 6: 15, 7: 6, 9: 3, 8: 3, 10: 1})",3346,82,6,0,0,0,
42988,0.9851819112310413,0.9545811051693405,0.984,0.953,"Counter({2: 2296, 3: 602, 4: 490, 5: 46, 6: 7, 7: 2, 9: 1, 8: 1})",3388,57,6,0,0,0,
42979,0.9841085181134973,0.9513151329389121,0.982,0.949,"Counter({2: 2299, 3: 596, 4: 491, 5: 47, 6: 8, 8: 2, 9: 1, 7: 1})",3386,59,12,0,0,0,
42941,0.983721850911716,0.9501462092575421,0.982,0.947,"Counter({2: 2282, 3: 588, 4: 508, 5: 51, 6: 9, 12: 1, 7: 1, 8: 1})",3378,63,13,0,0,0,
42956,0.982516994133532,0.946383950881702,0.98,0.941,"Counter({2: 2303, 3: 568, 4: 499, 5: 44, 6: 9, 8: 3, 7: 2, 12: 1, 10: 1})",3370,60,14,0,0,0,
43089,0.9825709577850495,0.9467186945725433,0.981,0.945,"Counter({2: 2347, 3: 555, 4: 491, 5: 34, 6: 5, 8: 4, 10: 1})",3393,44,10,0,0,0,
42853,0.9845051688329872,0.9522508269811593,0.982,0.948,"Counter({2: 2289, 3: 580, 4: 499, 5: 46, 6: 10, 7: 4, 8: 4, 9: 2, 10: 1, 11: 1})",3368,68,16,0,0,0,
42938,0.9843961060133215,0.9519506597819851,0.983,0.95,"Counter({2: 2326, 3: 566, 4: 491, 5: 43, 6: 7, 8: 4, 7: 2, 10: 2})",3383,58,11,0,0,0,
42894,0.9855457639763137,0.9553249747802277,0.984,0.953,"Counter({2: 2330, 3: 572, 4: 484, 5: 44, 6: 8, 8: 4, 7: 3, 9: 2, 11: 1})",3386,62,11,0,0,0,
42211,0.9898130818980835,0.9682422451994092,0.981,0.947,"Counter({2: 2092, 3: 653, 4: 523, 5: 70, 6: 27, 7: 16, 8: 12, 9: 5, 10: 5, 11: 2, 17: 1})",3268,138,23,0,0,0,
42382,0.9893586900099098,0.9669669669669669,0.982,0.951,"Counter({2: 2140, 3: 648, 4: 517, 5: 67, 6: 22, 7: 12, 8: 9, 9: 7, 10: 2, 13: 1, 11: 1})",3305,121,13,0,0,0,
42487,0.9898086473509544,0.9684333309032588,0.984,0.956,"Counter({2: 2164, 3: 646, 4: 513, 5: 71, 6: 22, 7: 10, 10: 5, 8: 4, 9: 3})",3323,115,16,0,0,0,
