P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.522,0.866,0.651,0.651,0.7806666666666667,0.7806666666666667
0.522,0.761,0.619,0.619,0.7376666666666667,0.7376666666666667
0.477,0.817,0.602,0.602,0.7721666666666667,0.7721666666666667
0.519,0.85,0.645,0.645,0.7976666666666666,0.7976666666666666
0.485,0.779,0.598,0.598,0.6960000000000001,0.6960000000000001
0.437,0.68,0.532,0.532,0.5381666666666667,0.5381666666666667
0.499,0.732,0.594,0.594,0.6545000000000001,0.6545000000000001
0.537,0.744,0.623,0.623,0.6923333333333334,0.6923333333333334
0.44,0.752,0.555,0.555,0.646,0.646
0.573,0.789,0.664,0.664,0.7306666666666667,0.7306666666666667
0.949,0.694,0.802,0.802,0.7215000000000001,0.7215000000000001
0.945,0.583,0.721,0.721,0.5963333333333334,0.5963333333333334
0.918,0.583,0.713,0.713,0.5171666666666667,0.5171666666666667
0.947,0.628,0.755,0.755,0.624,0.624
0.913,0.76,0.83,0.83,0.781,0.781
0.976,0.723,0.831,0.831,0.7953333333333333,0.7953333333333333
0.995,0.682,0.809,0.809,0.7928333333333334,0.7928333333333334
0.997,0.596,0.746,0.746,0.7318333333333333,0.7318333333333333
0.997,0.655,0.79,0.79,0.7906666666666666,0.7906666666666666
0.997,0.65,0.787,0.787,0.7715,0.7715
0.999,0.619,0.765,0.765,0.7626666666666667,0.7626666666666667
0.997,0.621,0.766,0.766,0.781,0.781
0.988,0.712,0.827,0.827,0.7953333333333333,0.7953333333333333
0.993,0.726,0.839,0.839,0.7966666666666667,0.7966666666666667
0.986,0.687,0.81,0.81,0.7846666666666667,0.7846666666666667
0.994,0.701,0.822,0.822,0.7843333333333334,0.7843333333333334
0.985,0.74,0.845,0.845,0.8071666666666667,0.8071666666666667
0.988,0.711,0.827,0.827,0.8029999999999999,0.8029999999999999
0.993,0.735,0.845,0.845,0.8238333333333333,0.8238333333333333
0.994,0.744,0.851,0.851,0.8275,0.8275
0.996,0.687,0.813,0.813,0.8093333333333333,0.8093333333333333
0.993,0.73,0.842,0.842,0.8176666666666668,0.8176666666666668
0.994,0.705,0.825,0.825,0.8048333333333333,0.8048333333333333
0.997,0.685,0.812,0.812,0.79,0.79
0.994,0.695,0.818,0.818,0.8051666666666666,0.8051666666666666
0.997,0.729,0.842,0.842,0.8175,0.8175
0.968,0.759,0.851,0.851,0.8141666666666666,0.8141666666666666
0.958,0.802,0.873,0.873,0.8460000000000001,0.8460000000000001
0.956,0.776,0.857,0.857,0.8303333333333333,0.8303333333333333
0.959,0.757,0.846,0.846,0.8028333333333335,0.8028333333333335
0.961,0.765,0.852,0.852,0.8261666666666666,0.8261666666666666
0.96,0.754,0.845,0.845,0.8071666666666667,0.8071666666666667
0.962,0.773,0.857,0.857,0.8293333333333334,0.8293333333333334
0.959,0.771,0.855,0.855,0.8286666666666666,0.8286666666666666
0.96,0.766,0.852,0.852,0.818,0.818
0.961,0.78,0.861,0.861,0.8370000000000001,0.8370000000000001
0.971,0.783,0.867,0.867,0.843,0.843
0.959,0.812,0.879,0.879,0.8623333333333334,0.8623333333333334
0.953,0.782,0.859,0.859,0.8365,0.8365
0.961,0.794,0.869,0.869,0.8435000000000001,0.8435000000000001
0.989,0.76,0.859,0.859,0.8306666666666667,0.8306666666666667
0.963,0.795,0.871,0.871,0.8481666666666667,0.8481666666666667
0.964,0.81,0.88,0.88,0.8591666666666667,0.8591666666666667
0.959,0.803,0.874,0.874,0.8523333333333333,0.8523333333333333
0.962,0.817,0.884,0.884,0.8613333333333334,0.8613333333333334
0.958,0.796,0.869,0.869,0.8458333333333333,0.8458333333333333
0.974,0.775,0.863,0.863,0.8383333333333333,0.8383333333333333
0.962,0.789,0.867,0.867,0.8421666666666666,0.8421666666666666
0.983,0.782,0.871,0.871,0.8478333333333333,0.8478333333333333
0.958,0.796,0.869,0.869,0.8476666666666667,0.8476666666666667
0.962,0.793,0.869,0.869,0.8458333333333332,0.8458333333333332
0.964,0.793,0.87,0.87,0.8466666666666667,0.8466666666666667
0.959,0.786,0.864,0.864,0.8410000000000001,0.8410000000000001
0.973,0.789,0.872,0.872,0.8504999999999999,0.8504999999999999
