P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.933,0.0,0.647,0.0,0.764,0.0,0.7569,0.0,0.654,0.0,0.6508,0.0,0.764,0.0
0.954,0.0,0.615,0.0,0.748,0.0,0.7337,0.0,0.66,0.0,0.6573999999999999,0.0,0.748,0.0
0.955,0.0,0.549,0.0,0.697,0.0,0.6809999999999999,0.0,0.652,0.0,0.649,0.0,0.697,0.0
0.714,0.0,0.819,0.0,0.763,0.0,0.7629,0.0,0.659,0.0,0.657,0.0,0.763,0.0
0.891,0.0,0.842,0.0,0.866,0.0,0.8657999999999999,0.0,0.65,0.0,0.6466000000000001,0.0,0.866,0.0
0.962,0.0,0.724,0.0,0.826,0.0,0.8178000000000001,0.0,0.672,0.0,0.6698999999999999,0.0,0.826,0.0
0.952,0.0,0.743,0.0,0.835,0.0,0.8306000000000001,0.0,0.657,0.0,0.654,0.0,0.835,0.0
0.709,0.0,0.785,0.0,0.745,0.0,0.7413000000000001,0.0,0.672,0.0,0.6696,0.0,0.745,0.0
0.796,0.0,0.776,0.0,0.786,0.0,0.7825,0.0,0.671,0.0,0.6689999999999999,0.0,0.786,0.0
0.651,0.0,0.799,0.0,0.718,0.0,0.7175,0.0,0.676,0.0,0.6746,0.0,0.718,0.0
0.635,0.0,0.778,0.0,0.699,0.0,0.696,0.0,0.668,0.0,0.6665,0.0,0.699,0.0
0.664,0.0,0.74,0.0,0.7,0.0,0.6867,0.0,0.689,0.0,0.6885000000000001,0.0,0.7,0.0
0.663,0.0,0.724,0.0,0.692,0.0,0.6741,0.0,0.681,0.0,0.6809000000000001,0.0,0.692,0.0
0.661,0.0,0.734,0.0,0.695,0.0,0.6806,0.0,0.704,0.0,0.7051999999999998,0.0,0.695,0.0
0.645,0.0,0.656,0.0,0.65,0.0,0.6159000000000001,0.0,0.706,0.0,0.7068,0.0,0.65,0.0
0.655,0.0,0.716,0.0,0.684,0.0,0.6653999999999999,0.0,0.721,0.0,0.7238,0.0,0.684,0.0
0.666,0.0,0.8,0.0,0.727,0.0,0.7263999999999999,0.0,0.719,0.0,0.7222000000000001,0.0,0.727,0.0
0.675,0.0,0.752,0.0,0.711,0.0,0.7019,0.0,0.733,0.0,0.7368,0.0,0.711,0.0
0.671,0.0,0.75,0.0,0.708,0.0,0.6985,0.0,0.733,0.0,0.7370000000000001,0.0,0.708,0.0
0.686,0.0,0.793,0.0,0.736,0.0,0.7326,0.0,0.75,0.0,0.7558000000000001,0.0,0.736,0.0
0.685,0.0,0.786,0.0,0.732,0.0,0.7283,0.0,0.742,0.0,0.7487,0.0,0.732,0.0
0.694,0.0,0.809,0.0,0.747,0.0,0.7419,0.0,0.755,0.0,0.7632000000000001,0.0,0.788,0.0
0.791,0.0,0.757,0.0,0.773,0.0,0.7683,0.0,0.747,0.0,0.7545,0.0,0.795,0.0
0.786,0.0,0.775,0.0,0.78,0.0,0.7735,0.0,0.761,0.0,0.7692,0.0,0.835,0.0
0.827,0.0,0.796,0.0,0.811,0.0,0.8116,0.0,0.762,0.0,0.7697999999999999,0.0,0.845,0.0
0.942,0.0,0.824,0.0,0.879,0.0,0.8779,0.0,0.772,0.0,0.7791000000000001,0.0,0.858,0.0
0.846,0.0,0.864,0.0,0.855,0.0,0.8551,0.0,0.768,0.0,0.7748,0.0,0.927,0.0
0.784,0.0,0.861,0.0,0.821,0.0,0.8249000000000001,0.0,0.776,0.0,0.7827999999999999,0.0,0.892,0.0
0.872,0.0,0.872,0.0,0.872,0.0,0.8728,0.0,0.774,0.0,0.78,0.0,0.85,0.0
0.755,0.0,0.877,0.0,0.811,0.0,0.8137000000000001,0.0,0.779,0.0,0.7858,0.0,0.901,0.0
0.947,0.0,0.859,0.0,0.901,0.0,0.9016,0.0,0.779,0.0,0.7853,0.0,0.834,0.0
0.942,0.0,0.85,0.0,0.893,0.0,0.8935000000000001,0.0,0.784,0.0,0.7896000000000001,0.0,0.937,0.0
0.9,0.0,0.868,0.0,0.884,0.0,0.8807,0.0,0.778,0.0,0.7842,0.0,0.928,0.0
0.91,0.0,0.893,0.0,0.901,0.0,0.9022,0.0,0.784,0.0,0.79,0.0,0.92,0.0
0.924,0.0,0.87,0.0,0.896,0.0,0.8958,0.0,0.783,0.0,0.7886000000000001,0.0,0.931,0.0
0.896,0.0,0.887,0.0,0.891,0.0,0.8910999999999998,0.0,0.788,0.0,0.7920999999999999,0.0,0.93,0.0
0.898,0.0,0.888,0.0,0.893,0.0,0.8956,0.0,0.788,0.0,0.7924,0.0,0.927,0.0
0.929,0.0,0.859,0.0,0.893,0.0,0.8938,0.0,0.795,0.0,0.7998999999999999,0.0,0.925,0.0
0.89,0.0,0.881,0.0,0.886,0.0,0.8865000000000001,0.0,0.795,0.0,0.7995,0.0,0.935,0.0
0.918,0.0,0.893,0.0,0.905,0.0,0.9104000000000001,0.0,0.802,0.0,0.8065000000000001,0.0,0.917,0.0
0.884,0.0,0.903,0.0,0.893,0.0,0.8991,0.0,0.801,0.0,0.806,0.0,0.936,0.0
0.941,0.0,0.903,0.0,0.922,0.0,0.9261000000000001,0.0,0.805,0.0,0.8103,0.0,0.925,0.0
0.939,0.0,0.899,0.0,0.919,0.0,0.9237,0.0,0.805,0.0,0.8102,0.0,0.941,0.0
0.924,0.0,0.892,0.0,0.908,0.0,0.914,0.0,0.812,0.0,0.817,0.0,0.939,0.0
0.939,0.0,0.88,0.0,0.909,0.0,0.9123999999999999,0.0,0.811,0.0,0.8158999999999998,0.0,0.933,0.0
