addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
48675,0.9886800205444273,0.8345842089462623,0.981,0.865,"Counter({2: 513, 3: 207, 4: 153, 5: 90, 6: 58, 7: 34, 9: 8, 8: 5, 10: 3, 11: 3, 17: 2, 14: 1, 13: 1})",873,205,4,0,1,0,
48872,0.9881322638729743,0.8318840579710145,0.983,0.872,"Counter({2: 537, 3: 216, 4: 147, 5: 94, 6: 46, 7: 34, 8: 6, 9: 6, 11: 3, 12: 1, 14: 1, 13: 1})",900,192,2,0,0,0,
48629,0.9842275185588846,0.7781313277408158,0.974,0.811,"Counter({2: 504, 3: 203, 4: 157, 5: 82, 6: 40, 7: 27, 9: 11, 8: 10, 13: 6, 10: 6, 11: 3, 12: 1, 25: 1, 16: 1, 1: 1})",865,188,3,1,2,1,
48242,0.9881638406367895,0.819816976964342,0.975,0.826,"Counter({2: 483, 3: 196, 4: 156, 5: 89, 6: 55, 7: 39, 8: 10, 9: 10, 10: 7, 11: 3, 12: 2, 14: 2, 13: 2, 20: 2, 18: 1, 19: 1, 17: 1})",835,224,2,0,4,0,
48712,0.9882985711939564,0.8332358104154476,0.981,0.86,"Counter({2: 508, 3: 220, 4: 157, 5: 87, 6: 54, 7: 35, 9: 6, 14: 2, 10: 2, 15: 2, 11: 2, 18: 1, 17: 1, 8: 1, 20: 1})",885,194,1,1,1,0,
48303,0.9893174336997702,0.8384470882905448,0.977,0.837,"Counter({2: 480, 3: 199, 4: 154, 5: 94, 6: 54, 7: 36, 8: 10, 9: 7, 14: 3, 10: 3, 17: 3, 13: 2, 11: 2, 1: 2, 20: 1, 24: 1, 33: 1, 21: 1, 12: 1})",835,219,3,0,4,0,
48577,0.989254173785948,0.8426763110307414,0.98,0.86,"Counter({2: 504, 3: 211, 4: 154, 5: 91, 6: 51, 7: 36, 9: 7, 8: 3, 20: 2, 10: 2, 11: 2, 18: 1, 14: 1, 24: 1, 13: 1, 17: 1, 16: 1, 12: 1, 1: 1})",870,201,1,0,2,0,
48793,0.9896501547353104,0.8488476504040706,0.984,0.884,"Counter({2: 517, 3: 216, 4: 143, 5: 95, 6: 58, 7: 41, 9: 5, 10: 3, 8: 3, 11: 2})",876,207,3,0,1,0,
48748,0.9898457372610159,0.8518407662376534,0.984,0.879,"Counter({2: 519, 3: 215, 4: 142, 5: 94, 6: 55, 7: 37, 11: 5, 9: 5, 10: 3, 8: 2, 13: 1, 17: 1})",876,203,0,0,0,0,
