addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
48499,0.9892368914822987,0.841047503045067,0.979,0.849,"Counter({2: 498, 3: 193, 4: 153, 5: 89, 6: 59, 7: 37, 9: 9, 8: 5, 11: 4, 12: 3, 13: 2, 15: 2, 10: 2, 16: 1, 24: 1, 17: 1})",844,215,1,0,0,0
48590,0.9891953076764767,0.8439821693907875,0.98,0.855,"Counter({2: 506, 3: 190, 4: 166, 5: 93, 6: 61, 7: 36, 9: 6, 8: 5, 13: 3, 12: 2, 10: 2, 28: 1, 16: 1, 11: 1, 1: 1})",863,211,2,0,2,0
48871,0.9884594135581428,0.8392246294184721,0.983,0.871,"Counter({2: 511, 3: 200, 4: 170, 5: 94, 6: 54, 7: 40, 9: 5, 8: 3, 15: 1, 13: 1, 10: 1, 1: 1})",882,199,1,0,1,0
48992,0.986120182887002,0.807909604519774,0.981,0.858,"Counter({2: 540, 3: 189, 4: 156, 5: 87, 6: 48, 7: 33, 9: 5, 8: 3, 11: 2, 10: 2, 15: 1})",885,181,0,0,1,0
48975,0.9880755487493619,0.8339965889710063,0.983,0.874,"Counter({2: 537, 3: 202, 4: 154, 5: 92, 6: 51, 7: 32, 9: 6, 8: 4, 1: 2, 13: 1, 10: 1})",895,187,1,0,2,1
48903,0.9879148518495798,0.8330036733540548,0.982,0.868,"Counter({2: 518, 3: 193, 4: 177, 5: 90, 6: 53, 7: 37, 9: 6, 8: 3, 1: 2, 15: 1, 13: 1, 11: 1})",890,192,1,0,2,1
48744,0.9890653208600033,0.8441976030400468,0.981,0.863,"Counter({2: 538, 3: 189, 4: 154, 5: 89, 6: 55, 7: 32, 9: 7, 11: 4, 8: 3, 10: 3, 13: 2, 1: 2, 14: 1, 17: 1})",883,197,1,0,2,1
48798,0.9889134800606583,0.8437770719029744,0.982,0.869,"Counter({2: 512, 3: 198, 4: 169, 5: 99, 6: 51, 7: 38, 8: 8, 9: 5, 1: 2, 15: 1, 13: 1, 10: 1})",881,204,3,1,2,1
48945,0.9891510879558688,0.844963503649635,0.984,0.881,"Counter({2: 549, 3: 199, 4: 135, 5: 90, 6: 50, 7: 36, 9: 6, 11: 2, 15: 1, 10: 1, 8: 1})",883,187,2,0,1,0
49014,0.9892071652997103,0.848119437266724,0.985,0.889,"Counter({2: 555, 3: 204, 4: 141, 5: 90, 6: 51, 7: 37, 9: 5, 15: 1, 1: 1})",901,184,3,0,1,1
