P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.118,0.889,0.208,0.208,0.3678333333333334,0.3678333333333334
0.155,0.895,0.264,0.264,0.466,0.466
0.253,0.88,0.393,0.393,0.5398333333333334,0.5398333333333334
0.402,0.844,0.544,0.544,0.6188333333333333,0.6188333333333333
0.597,0.813,0.688,0.688,0.7013333333333334,0.7013333333333334
0.41,0.856,0.554,0.554,0.6228333333333333,0.6228333333333333
0.536,0.812,0.646,0.646,0.6666666666666666,0.6666666666666666
0.529,0.802,0.637,0.637,0.6748333333333333,0.6748333333333333
0.619,0.784,0.692,0.692,0.7068333333333333,0.7068333333333333
0.809,0.761,0.784,0.784,0.7608333333333333,0.7608333333333333
0.734,0.813,0.771,0.771,0.7438333333333332,0.7438333333333332
0.701,0.828,0.759,0.759,0.7426666666666667,0.7426666666666667
0.811,0.785,0.798,0.798,0.7669999999999999,0.7669999999999999
0.678,0.856,0.757,0.757,0.7528333333333332,0.7528333333333332
0.744,0.815,0.778,0.778,0.7640000000000001,0.7640000000000001
0.713,0.838,0.771,0.771,0.7559999999999999,0.7559999999999999
0.677,0.85,0.753,0.753,0.7414999999999999,0.7414999999999999
0.742,0.842,0.789,0.789,0.7698333333333333,0.7698333333333333
0.751,0.834,0.79,0.79,0.77,0.77
0.745,0.833,0.787,0.787,0.7648333333333334,0.7648333333333334
0.792,0.828,0.81,0.81,0.7789999999999999,0.7789999999999999
0.808,0.8,0.804,0.804,0.7765,0.7765
0.848,0.76,0.802,0.802,0.7776666666666666,0.7776666666666666
0.787,0.825,0.806,0.806,0.7771666666666666,0.7771666666666666
0.804,0.826,0.815,0.815,0.7838333333333333,0.7838333333333333
0.732,0.855,0.789,0.789,0.7703333333333333,0.7703333333333333
0.787,0.855,0.82,0.82,0.7899999999999999,0.7899999999999999
0.777,0.848,0.811,0.811,0.7816666666666667,0.7816666666666667
0.808,0.837,0.822,0.822,0.7843333333333332,0.7843333333333332
0.808,0.838,0.823,0.823,0.789,0.789
0.786,0.843,0.813,0.813,0.7798333333333333,0.7798333333333333
0.807,0.828,0.817,0.817,0.785,0.785
0.817,0.828,0.823,0.823,0.7835,0.7835
0.804,0.855,0.829,0.829,0.7971666666666667,0.7971666666666667
0.76,0.838,0.797,0.797,0.7711666666666667,0.7711666666666667
0.809,0.841,0.825,0.825,0.7918333333333334,0.7918333333333334
0.806,0.837,0.821,0.821,0.786,0.786
0.819,0.826,0.822,0.822,0.7871666666666667,0.7871666666666667
0.838,0.834,0.836,0.836,0.8040000000000002,0.8040000000000002
0.81,0.837,0.823,0.823,0.7871666666666667,0.7871666666666667
0.812,0.88,0.844,0.844,0.8398333333333334,0.8398333333333334
0.78,0.9,0.835,0.835,0.8444999999999999,0.8444999999999999
0.789,0.887,0.836,0.836,0.8353333333333333,0.8353333333333333
0.781,0.893,0.833,0.833,0.8436666666666667,0.8436666666666667
0.824,0.881,0.852,0.852,0.8506666666666666,0.8506666666666666
0.788,0.902,0.841,0.841,0.8443333333333333,0.8443333333333333
0.798,0.883,0.838,0.838,0.8353333333333334,0.8353333333333334
0.794,0.891,0.839,0.839,0.8439999999999999,0.8439999999999999
0.788,0.89,0.836,0.836,0.842,0.842
0.798,0.881,0.837,0.837,0.8376666666666667,0.8376666666666667
0.768,0.885,0.822,0.822,0.8301666666666666,0.8301666666666666
0.788,0.887,0.835,0.835,0.8370000000000001,0.8370000000000001
0.754,0.879,0.812,0.812,0.8168333333333333,0.8168333333333333
0.77,0.89,0.826,0.826,0.8341666666666665,0.8341666666666665
0.776,0.885,0.827,0.827,0.8313333333333333,0.8313333333333333
0.788,0.884,0.833,0.833,0.8381666666666666,0.8381666666666666
0.763,0.887,0.82,0.82,0.8285,0.8285
0.685,0.913,0.783,0.783,0.749,0.749
0.747,0.903,0.817,0.817,0.8093333333333333,0.8093333333333333
0.769,0.892,0.826,0.826,0.8351666666666667,0.8351666666666667
0.739,0.896,0.81,0.81,0.7978333333333333,0.7978333333333333
0.766,0.888,0.822,0.822,0.8304999999999999,0.8304999999999999
0.76,0.904,0.826,0.826,0.8255,0.8255
0.648,0.927,0.763,0.763,0.7256666666666666,0.7256666666666666
0.65,0.927,0.764,0.764,0.7148333333333333,0.7148333333333333
0.778,0.887,0.829,0.829,0.8424999999999999,0.8424999999999999
0.764,0.892,0.823,0.823,0.8341666666666666,0.8341666666666666
0.699,0.918,0.794,0.794,0.7678333333333333,0.7678333333333333
0.743,0.914,0.819,0.819,0.8045,0.8045
0.574,0.934,0.711,0.711,0.6546666666666666,0.6546666666666666
0.731,0.907,0.809,0.809,0.7958333333333333,0.7958333333333333
0.779,0.896,0.833,0.833,0.8424999999999999,0.8424999999999999
0.77,0.902,0.831,0.831,0.8361666666666667,0.8361666666666667
0.749,0.906,0.82,0.82,0.8113333333333334,0.8113333333333334
0.742,0.906,0.816,0.816,0.795,0.795
0.719,0.895,0.797,0.797,0.7773333333333333,0.7773333333333333
0.759,0.895,0.821,0.821,0.7979999999999999,0.7979999999999999
0.629,0.917,0.746,0.746,0.6808333333333333,0.6808333333333333
0.785,0.895,0.836,0.836,0.8424999999999999,0.8424999999999999
0.797,0.889,0.841,0.841,0.8458333333333332,0.8458333333333332
0.805,0.875,0.839,0.839,0.8456666666666667,0.8456666666666667
0.803,0.885,0.842,0.842,0.8448333333333332,0.8448333333333332
0.786,0.892,0.835,0.835,0.824,0.824
0.812,0.887,0.848,0.848,0.8471666666666667,0.8471666666666667
0.816,0.886,0.849,0.849,0.8479999999999999,0.8479999999999999
0.81,0.884,0.845,0.845,0.8504999999999999,0.8504999999999999
0.821,0.873,0.846,0.846,0.8484999999999999,0.8484999999999999
0.805,0.881,0.841,0.841,0.8224999999999999,0.8224999999999999
0.809,0.877,0.842,0.842,0.8330000000000001,0.8330000000000001
0.846,0.871,0.858,0.858,0.8571666666666666,0.8571666666666666
0.835,0.867,0.85,0.85,0.8498333333333333,0.8498333333333333
0.847,0.876,0.861,0.861,0.8574999999999999,0.8574999999999999
0.852,0.876,0.864,0.864,0.8604999999999999,0.8604999999999999
0.844,0.877,0.86,0.86,0.8551666666666665,0.8551666666666665
0.85,0.877,0.864,0.864,0.8584999999999999,0.8584999999999999
0.837,0.872,0.854,0.854,0.8524999999999999,0.8524999999999999
0.836,0.886,0.861,0.861,0.8599999999999999,0.8599999999999999
0.85,0.882,0.866,0.866,0.8624999999999999,0.8624999999999999
0.844,0.88,0.861,0.861,0.8586666666666666,0.8586666666666666
0.818,0.882,0.849,0.849,0.844,0.844
0.841,0.885,0.862,0.862,0.8593333333333333,0.8593333333333333
0.774,0.898,0.831,0.831,0.8133333333333334,0.8133333333333334
0.816,0.885,0.849,0.849,0.8493333333333334,0.8493333333333334
0.835,0.887,0.86,0.86,0.8588333333333332,0.8588333333333332
0.841,0.884,0.862,0.862,0.8574999999999999,0.8574999999999999
0.847,0.887,0.867,0.867,0.8596666666666666,0.8596666666666666
0.832,0.889,0.86,0.86,0.8528333333333333,0.8528333333333333
0.834,0.89,0.861,0.861,0.8576666666666667,0.8576666666666667
0.833,0.886,0.859,0.859,0.8501666666666668,0.8501666666666668
0.821,0.901,0.859,0.859,0.8465000000000001,0.8465000000000001
0.822,0.892,0.855,0.855,0.8518333333333333,0.8518333333333333
0.833,0.888,0.86,0.86,0.8523333333333333,0.8523333333333333
0.842,0.885,0.863,0.863,0.8556666666666666,0.8556666666666666
0.845,0.889,0.866,0.866,0.8593333333333332,0.8593333333333332
0.838,0.89,0.863,0.863,0.858,0.858
0.841,0.89,0.865,0.865,0.8569999999999999,0.8569999999999999
0.82,0.902,0.859,0.859,0.8593333333333334,0.8593333333333334
0.824,0.888,0.855,0.855,0.8518333333333333,0.8518333333333333
0.836,0.885,0.859,0.859,0.8538333333333336,0.8538333333333336
0.802,0.901,0.849,0.849,0.8296666666666667,0.8296666666666667
0.827,0.89,0.857,0.857,0.8521666666666666,0.8521666666666666
0.84,0.887,0.863,0.863,0.8566666666666666,0.8566666666666666
0.836,0.881,0.858,0.858,0.851,0.851
0.825,0.904,0.863,0.863,0.8635,0.8635
