P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.117,0.866,0.207,0.207,0.3583333333333334,0.3583333333333334
0.12,0.897,0.211,0.211,0.35916666666666663,0.35916666666666663
0.368,0.856,0.515,0.515,0.6043333333333333,0.6043333333333333
0.244,0.895,0.383,0.383,0.5311666666666667,0.5311666666666667
0.43,0.832,0.567,0.567,0.6331666666666667,0.6331666666666667
0.664,0.771,0.714,0.714,0.7206666666666667,0.7206666666666667
0.514,0.84,0.637,0.637,0.6706666666666666,0.6706666666666666
0.525,0.828,0.642,0.642,0.6785,0.6785
0.459,0.847,0.595,0.595,0.651,0.651
0.433,0.859,0.576,0.576,0.6361666666666667,0.6361666666666667
0.52,0.758,0.617,0.617,0.6625,0.6625
0.842,0.662,0.741,0.741,0.7371666666666666,0.7371666666666666
0.807,0.686,0.742,0.742,0.7358333333333333,0.7358333333333333
0.813,0.761,0.786,0.786,0.7648333333333334,0.7648333333333334
0.539,0.82,0.65,0.65,0.6795,0.6795
0.581,0.811,0.677,0.677,0.6974999999999999,0.6974999999999999
0.78,0.812,0.795,0.795,0.7683333333333332,0.7683333333333332
0.838,0.748,0.791,0.791,0.7631666666666667,0.7631666666666667
0.798,0.785,0.792,0.792,0.7681666666666667,0.7681666666666667
0.864,0.703,0.775,0.775,0.7555000000000001,0.7555000000000001
0.842,0.787,0.814,0.814,0.7813333333333333,0.7813333333333333
0.869,0.751,0.805,0.793,0.7743333333333333,0.7599999999999999
0.801,0.696,0.745,0.824,0.7349999999999999,0.7893333333333333
0.79,0.804,0.797,0.759,0.7666666666666666,0.7426666666666667
0.842,0.783,0.812,0.803,0.7773333333333333,0.7716666666666666
0.802,0.826,0.814,0.82,0.7788333333333332,0.7806666666666667
0.836,0.813,0.824,0.803,0.7815,0.7716666666666666
0.862,0.787,0.823,0.837,0.7871666666666668,0.7901666666666666
0.858,0.769,0.811,0.831,0.7788333333333334,0.793
0.869,0.8,0.833,0.823,0.7923333333333332,0.7876666666666666
0.837,0.813,0.825,0.839,0.7879999999999999,0.7949999999999999
0.85,0.805,0.827,0.821,0.7898333333333333,0.7863333333333333
0.903,0.763,0.827,0.835,0.7913333333333333,0.7951666666666665
0.859,0.771,0.813,0.833,0.7733333333333334,0.7948333333333332
0.872,0.792,0.83,0.826,0.7908333333333332,0.7888333333333333
0.877,0.783,0.828,0.834,0.7894999999999999,0.7943333333333333
0.879,0.778,0.825,0.839,0.7885,0.7981666666666666
0.89,0.766,0.823,0.84,0.7878333333333334,0.7931666666666667
0.833,0.802,0.817,0.848,0.7686666666666667,0.8046666666666665
0.836,0.815,0.825,0.822,0.7859999999999999,0.7814999999999999
0.827,0.815,0.821,0.838,0.7851666666666667,0.7959999999999999
0.847,0.806,0.826,0.828,0.7888333333333333,0.7893333333333333
0.824,0.825,0.825,0.839,0.7888333333333333,0.7974999999999999
