addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
48794,0.9939131860474648,0.9108375863104172,0.984,0.887,"Counter({2: 586, 3: 202, 4: 157, 5: 111, 6: 56, 7: 44, 9: 7, 8: 4, 10: 4, 11: 4, 15: 2, 13: 2, 20: 1, 14: 1, 12: 1})",945,237,2,0,0,0,
48922,0.9947467397081068,0.9245670678015849,0.986,0.906,"Counter({2: 584, 3: 211, 4: 168, 5: 112, 6: 64, 7: 49, 9: 6, 8: 3, 15: 1, 14: 1, 11: 1, 13: 1, 12: 1})",963,239,0,0,0,0,
48946,0.994565439463899,0.9224941724941724,0.986,0.906,"Counter({2: 586, 3: 210, 4: 171, 5: 113, 6: 62, 7: 50, 9: 6, 8: 1, 16: 1, 11: 1, 13: 1, 12: 1, 10: 1})",967,237,1,0,0,0,
48945,0.9944836040453571,0.9216937354988399,0.986,0.904,"Counter({2: 581, 3: 212, 4: 173, 5: 112, 6: 62, 7: 49, 9: 5, 8: 2, 22: 1, 11: 1, 13: 1, 12: 1, 10: 1})",966,235,1,0,1,1,
48885,0.9952337117725274,0.9313292071912761,0.987,0.907,"Counter({2: 585, 3: 211, 4: 170, 5: 119, 6: 56, 7: 50, 9: 5, 8: 4, 10: 2, 11: 2, 22: 1, 13: 1, 12: 1, 1: 1})",967,241,3,0,2,2,
48928,0.9944612491824723,0.9220592464768479,0.986,0.902,"Counter({2: 581, 3: 215, 4: 179, 5: 110, 6: 62, 7: 48, 9: 5, 8: 2, 27: 1, 11: 1, 13: 1, 12: 1, 10: 1})",975,232,1,0,2,1,
48848,0.9947183098591549,0.9240282685512367,0.985,0.9,"Counter({2: 576, 3: 218, 4: 169, 5: 116, 6: 61, 7: 47, 8: 5, 9: 4, 14: 2, 27: 1, 11: 1, 13: 1, 12: 1, 10: 1})",963,240,3,0,2,1,
48888,0.9950703649157258,0.929304781460839,0.987,0.907,"Counter({2: 574, 3: 216, 4: 175, 5: 116, 6: 64, 7: 48, 8: 4, 9: 4, 21: 1, 14: 1, 11: 1, 13: 1, 12: 1, 10: 1, 1: 1})",966,242,3,0,2,2,
48943,0.9948102895204626,0.9265895953757225,0.987,0.908,"Counter({2: 577, 3: 218, 4: 179, 5: 115, 6: 62, 7: 47, 9: 4, 8: 2, 13: 2, 21: 1, 11: 1, 12: 1, 10: 1})",974,236,1,0,2,1,
