addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
48790,0.9943021110883378,0.9162650602409639,0.983,0.885,"Counter({2: 628, 3: 196, 4: 140, 5: 96, 6: 49, 7: 43, 8: 5, 10: 4, 9: 4, 11: 3, 13: 2, 12: 2, 19: 2, 1: 2, 15: 1, 17: 1, 22: 1, 27: 1})",966,214,3,0,7,1,
48798,0.9938317144145252,0.909853249475891,0.983,0.88,"Counter({2: 621, 3: 199, 4: 138, 5: 92, 6: 46, 7: 43, 9: 6, 10: 5, 11: 3, 8: 3, 12: 3, 13: 2, 19: 2, 1: 2, 14: 1, 17: 1, 22: 1, 27: 1})",960,209,2,0,7,1,
48748,0.9932920324936407,0.902591599642538,0.981,0.871,"Counter({2: 617, 3: 200, 4: 145, 5: 86, 6: 45, 7: 40, 8: 9, 9: 6, 10: 4, 11: 4, 13: 3, 12: 3, 16: 2, 17: 1, 22: 1, 28: 1, 19: 1, 15: 1, 1: 1})",963,207,5,0,6,0,
48635,0.9946129330728899,0.9204614450516091,0.982,0.876,"Counter({2: 605, 3: 218, 4: 141, 5: 103, 7: 44, 6: 42, 9: 7, 8: 6, 10: 4, 11: 4, 13: 3, 17: 2, 14: 2, 12: 2, 19: 2, 1: 2, 15: 1, 16: 1, 29: 1})",966,224,3,0,7,1,
48119,0.9946798561898627,0.9171521035598705,0.974,0.833,"Counter({2: 587, 3: 205, 4: 133, 5: 89, 6: 50, 7: 41, 8: 10, 9: 8, 10: 6, 11: 5, 13: 5, 12: 3, 17: 2, 1: 2, 15: 1, 16: 1, 74: 1, 14: 1, 22: 1, 20: 1, 31: 1, 25: 1, 24: 1})",927,228,4,0,9,1,
48150,0.994932502596054,0.9212395093608778,0.975,0.839,"Counter({2: 587, 3: 195, 4: 143, 5: 89, 6: 52, 7: 41, 8: 12, 9: 7, 10: 7, 11: 6, 13: 4, 15: 2, 12: 2, 17: 2, 19: 2, 1: 2, 72: 1, 14: 1, 22: 1, 20: 1, 31: 1})",927,231,3,0,8,1,
48400,0.9952066115702479,0.9263492063492064,0.979,0.863,"Counter({2: 592, 3: 199, 4: 139, 5: 100, 6: 52, 7: 41, 10: 9, 8: 9, 9: 6, 11: 5, 13: 4, 12: 2, 14: 2, 1: 2, 15: 1, 16: 1, 22: 1, 33: 1, 19: 1, 32: 1})",932,236,6,0,7,1,
48099,0.9950934530863428,0.9237233354880413,0.974,0.836,"Counter({2: 572, 3: 205, 4: 142, 5: 86, 6: 56, 7: 41, 8: 13, 10: 7, 11: 6, 9: 5, 13: 4, 12: 3, 15: 3, 14: 3, 18: 2, 1: 2, 22: 1, 56: 1, 16: 1, 19: 1, 17: 1, 31: 1})",921,235,5,0,10,1,
48348,0.9955944403077687,0.9334582942830366,0.978,0.858,"Counter({2: 598, 3: 204, 4: 143, 5: 89, 6: 52, 7: 43, 8: 8, 10: 8, 9: 7, 13: 6, 11: 6, 14: 2, 1: 2, 15: 1, 18: 1, 22: 1, 56: 1, 19: 1, 17: 1, 12: 1})",947,228,6,0,8,1,
48256,0.9958554376657824,0.9373825923606762,0.977,0.85,"Counter({2: 582, 3: 203, 4: 148, 5: 88, 6: 56, 7: 40, 8: 10, 9: 6, 10: 5, 15: 4, 14: 4, 11: 4, 12: 3, 13: 2, 1: 2, 19: 1, 22: 1, 39: 1, 25: 1, 21: 1, 17: 1, 31: 1})",935,229,7,0,8,1,
48006,0.9960838228554764,0.93915857605178,0.973,0.832,"Counter({2: 584, 3: 184, 4: 148, 5: 92, 6: 50, 7: 37, 8: 9, 10: 8, 13: 8, 11: 5, 9: 5, 16: 4, 1: 4, 15: 3, 14: 2, 22: 2, 23: 1, 18: 1, 17: 1, 38: 1, 57: 1, 27: 1, 12: 1})",920,232,11,0,10,2,
48186,0.9955588760220812,0.9322784810126583,0.976,0.844,"Counter({2: 600, 3: 193, 4: 146, 5: 85, 6: 55, 7: 42, 8: 10, 10: 7, 9: 6, 12: 4, 13: 4, 1: 4, 15: 3, 11: 3, 14: 2, 19: 2, 24: 1, 17: 1, 22: 1, 52: 1, 26: 1, 34: 1})",943,229,7,0,12,2,
48554,0.9966429130452692,0.949363156259708,0.983,0.886,"Counter({2: 600, 3: 199, 4: 146, 5: 92, 6: 58, 7: 46, 10: 7, 8: 7, 13: 5, 9: 3, 24: 2, 12: 2, 1: 2, 11: 2, 15: 1, 17: 1, 22: 1, 32: 1, 19: 1})",947,229,10,0,7,2,
48339,0.9962969858706221,0.9430842607313196,0.98,0.868,"Counter({2: 578, 3: 196, 4: 155, 5: 95, 6: 64, 7: 44, 8: 7, 10: 6, 9: 6, 11: 5, 1: 3, 25: 2, 13: 2, 23: 1, 18: 1, 15: 1, 22: 1, 49: 1, 17: 1, 32: 1, 12: 1, 14: 1})",932,240,10,0,8,2,
48450,0.9966150670794633,0.9482323232323232,0.982,0.881,"Counter({2: 573, 3: 203, 4: 153, 5: 101, 6: 63, 7: 49, 11: 7, 10: 6, 8: 5, 22: 3, 9: 3, 1: 3, 23: 2, 18: 1, 15: 1, 26: 1, 19: 1, 13: 1, 12: 1})",932,245,8,0,8,2,
