addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
48689,0.9948242929614493,0.9238670694864048,0.983,0.886,"Counter({2: 588, 3: 218, 4: 152, 5: 109, 6: 59, 7: 38, 11: 7, 9: 6, 8: 5, 10: 3, 15: 2, 13: 2, 17: 1, 14: 1, 18: 1, 16: 1, 1: 1, 22: 1})",959,236,2,0,2,1
48725,0.9945202668034889,0.9195540825549865,0.983,0.885,"Counter({2: 605, 3: 209, 4: 149, 5: 106, 6: 59, 7: 38, 8: 6, 10: 6, 9: 6, 11: 4, 13: 3, 15: 2, 14: 2, 1: 2, 16: 1, 18: 1})",965,234,1,0,3,1
48358,0.9928243517101617,0.8896661367249602,0.976,0.841,"Counter({2: 603, 3: 193, 4: 133, 5: 100, 6: 50, 7: 29, 8: 11, 9: 7, 10: 6, 12: 5, 19: 5, 11: 5, 13: 4, 14: 2, 16: 2, 1: 2, 26: 1, 17: 1, 38: 1, 22: 1, 15: 1})",931,231,8,0,3,1
48499,0.9935462586857461,0.9025832555244319,0.979,0.857,"Counter({2: 592, 3: 207, 4: 136, 5: 100, 6: 50, 7: 33, 9: 7, 8: 7, 10: 5, 11: 5, 13: 4, 15: 2, 14: 2, 16: 2, 18: 2, 12: 2, 24: 1, 39: 1, 1: 1, 37: 1, 20: 1})",936,225,2,0,3,1
48818,0.9941210209349011,0.9149125407648978,0.984,0.888,"Counter({2: 604, 3: 210, 4: 154, 5: 108, 6: 56, 7: 37, 8: 4, 13: 4, 11: 4, 9: 4, 10: 3, 1: 2, 28: 1, 15: 1, 14: 1, 18: 1, 16: 1, 12: 1})",970,226,1,0,3,1
48838,0.9937753388754659,0.9106407995296883,0.984,0.887,"Counter({2: 620, 3: 219, 4: 148, 5: 112, 6: 50, 7: 35, 8: 7, 9: 7, 11: 5, 13: 2, 16: 2, 15: 1, 14: 1, 18: 1, 1: 1, 19: 1})",988,224,3,0,3,1
48920,0.9927023712183156,0.8968506212077435,0.983,0.882,"Counter({2: 625, 3: 212, 4: 151, 5: 105, 6: 52, 7: 31, 8: 6, 11: 5, 10: 5, 9: 4, 13: 3, 16: 2, 1: 2, 15: 1, 14: 1})",990,215,2,0,3,1
48880,0.9931669394435352,0.9025102159953298,0.983,0.884,"Counter({2: 619, 3: 214, 4: 149, 5: 107, 6: 45, 7: 37, 10: 5, 11: 5, 8: 4, 9: 4, 17: 2, 13: 2, 15: 1, 14: 1, 16: 1, 1: 1, 21: 1, 12: 1})",983,216,2,0,3,1
