P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.801,0.0,0.895,0.0,0.845,0.0,0.8516999999999999,0.0,0.85,0.0,0.8446000000000001,0.0,0.888,0.0
0.749,0.0,0.889,0.0,0.813,0.0,0.8327,0.0,0.853,0.0,0.8475000000000001,0.0,0.879,0.0
0.848,0.0,0.881,0.0,0.864,0.0,0.8643000000000001,0.0,0.852,0.0,0.8464,0.0,0.862,0.0
0.818,0.0,0.887,0.0,0.851,0.0,0.8587999999999999,0.0,0.857,0.0,0.8513999999999999,0.0,0.894,0.0
0.803,0.0,0.893,0.0,0.846,0.0,0.8574999999999999,0.0,0.859,0.0,0.8542,0.0,0.879,0.0
0.802,0.0,0.893,0.0,0.845,0.0,0.8595,0.0,0.861,0.0,0.8563000000000001,0.0,0.885,0.0
0.873,0.0,0.897,0.0,0.884,0.0,0.8845000000000001,0.0,0.861,0.0,0.8564999999999999,0.0,0.886,0.0
0.857,0.0,0.898,0.0,0.877,0.0,0.8788000000000002,0.0,0.867,0.0,0.8619,0.0,0.902,0.0
0.831,0.0,0.9,0.0,0.864,0.0,0.8675,0.0,0.863,0.0,0.8583999999999999,0.0,0.893,0.0
0.854,0.0,0.895,0.0,0.874,0.0,0.875,0.0,0.867,0.0,0.8627,0.0,0.892,0.0
0.838,0.0,0.907,0.0,0.871,0.0,0.8734999999999999,0.0,0.866,0.0,0.8618,0.0,0.895,0.0
0.842,0.0,0.903,0.0,0.871,0.0,0.8743000000000001,0.0,0.869,0.0,0.8642999999999998,0.0,0.892,0.0
0.84,0.0,0.898,0.0,0.868,0.0,0.869,0.0,0.867,0.0,0.8634999999999999,0.0,0.897,0.0
0.841,0.0,0.9,0.0,0.869,0.0,0.8703999999999998,0.0,0.868,0.0,0.8647,0.0,0.893,0.0
0.843,0.0,0.905,0.0,0.873,0.0,0.8733000000000001,0.0,0.868,0.0,0.8647,0.0,0.892,0.0
0.847,0.0,0.905,0.0,0.875,0.0,0.8764000000000001,0.0,0.869,0.0,0.8663000000000001,0.0,0.893,0.0
0.845,0.0,0.904,0.0,0.873,0.0,0.8746,0.0,0.871,0.0,0.8686,0.0,0.898,0.0
0.827,0.0,0.902,0.0,0.863,0.0,0.8654,0.0,0.874,0.0,0.8718999999999999,0.0,0.896,0.0
0.837,0.0,0.911,0.0,0.872,0.0,0.873,0.0,0.875,0.0,0.8744,0.0,0.893,0.0
0.804,0.0,0.916,0.0,0.857,0.0,0.8592000000000001,0.0,0.877,0.0,0.8766999999999999,0.0,0.894,0.0
0.818,0.0,0.916,0.0,0.864,0.0,0.8653000000000001,0.0,0.878,0.0,0.8780000000000001,0.0,0.882,0.0
0.834,0.0,0.912,0.0,0.871,0.0,0.8720000000000001,0.0,0.878,0.0,0.8791,0.0,0.887,0.0
0.818,0.0,0.907,0.0,0.86,0.0,0.8621000000000001,0.0,0.878,0.0,0.8791,0.0,0.885,0.0
0.832,0.0,0.916,0.0,0.872,0.0,0.873,0.0,0.88,0.0,0.8811,0.0,0.886,0.0
0.853,0.0,0.9,0.0,0.875,0.0,0.8760999999999999,0.0,0.88,0.0,0.8817,0.0,0.885,0.0
0.849,0.0,0.907,0.0,0.877,0.0,0.8772,0.0,0.883,0.0,0.8837000000000002,0.0,0.894,0.0
0.863,0.0,0.899,0.0,0.881,0.0,0.8805,0.0,0.883,0.0,0.8844000000000001,0.0,0.89,0.0
0.861,0.0,0.889,0.0,0.875,0.0,0.8756,0.0,0.883,0.0,0.8846000000000002,0.0,0.896,0.0
0.862,0.0,0.889,0.0,0.875,0.0,0.8756999999999999,0.0,0.884,0.0,0.8855000000000001,0.0,0.895,0.0
0.86,0.0,0.887,0.0,0.873,0.0,0.8737,0.0,0.887,0.0,0.8880000000000001,0.0,0.893,0.0
0.891,0.0,0.878,0.0,0.885,0.0,0.8865999999999999,0.0,0.887,0.0,0.8881,0.0,0.89,0.0
0.889,0.0,0.892,0.0,0.891,0.0,0.892,0.0,0.889,0.0,0.8899000000000001,0.0,0.903,0.0
0.874,0.0,0.897,0.0,0.885,0.0,0.8869,0.0,0.888,0.0,0.8889999999999999,0.0,0.907,0.0
0.887,0.0,0.902,0.0,0.894,0.0,0.8958,0.0,0.889,0.0,0.8901999999999999,0.0,0.905,0.0
0.903,0.0,0.9,0.0,0.902,0.0,0.9028999999999998,0.0,0.89,0.0,0.8907,0.0,0.908,0.0
0.897,0.0,0.89,0.0,0.894,0.0,0.8959999999999999,0.0,0.891,0.0,0.8920999999999999,0.0,0.919,0.0
0.892,0.0,0.897,0.0,0.894,0.0,0.8958999999999999,0.0,0.891,0.0,0.892,0.0,0.914,0.0
0.914,0.0,0.894,0.0,0.904,0.0,0.9052,0.0,0.893,0.0,0.8934000000000001,0.0,0.909,0.0
0.899,0.0,0.902,0.0,0.9,0.0,0.9016,0.0,0.893,0.0,0.8934000000000001,0.0,0.921,0.0
0.893,0.0,0.904,0.0,0.898,0.0,0.9025000000000002,0.0,0.895,0.0,0.8952,0.0,0.915,0.0
0.879,0.0,0.907,0.0,0.893,0.0,0.8969000000000001,0.0,0.894,0.0,0.8951,0.0,0.918,0.0
