addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
48612,0.9900641816835349,0.8529680365296803,0.982,0.872,"Counter({2: 520, 3: 213, 4: 143, 5: 85, 6: 50, 7: 38, 9: 7, 10: 4, 11: 4, 8: 3, 12: 2, 1: 2, 13: 1, 16: 1, 19: 1, 28: 1, 14: 1})",878,198,0,0,3,0
48579,0.9897074867741205,0.8473748473748474,0.981,0.866,"Counter({2: 516, 3: 206, 4: 148, 5: 87, 6: 52, 7: 33, 10: 7, 8: 6, 11: 6, 9: 5, 1: 2, 15: 1, 12: 1, 13: 1, 17: 1, 20: 1, 19: 1})",872,202,1,0,4,1
48742,0.9892084854950556,0.8436385255648038,0.983,0.874,"Counter({2: 522, 3: 208, 4: 151, 5: 85, 6: 47, 7: 39, 8: 7, 10: 5, 9: 3, 11: 2, 16: 2, 19: 1, 13: 1, 12: 1, 1: 1})",882,193,2,1,1,0
48588,0.9898534617601054,0.8501064153238067,0.981,0.865,"Counter({2: 527, 3: 214, 4: 139, 5: 84, 6: 48, 7: 37, 10: 8, 9: 5, 12: 4, 11: 3, 16: 2, 8: 1, 13: 1, 22: 1, 17: 1, 1: 1})",881,195,1,0,1,0
48766,0.9898494852971332,0.8535936113575865,0.984,0.881,"Counter({2: 521, 3: 225, 4: 146, 5: 85, 6: 49, 7: 38, 10: 6, 8: 5, 11: 3, 9: 3, 1: 2, 12: 1, 13: 1, 16: 1})",894,192,0,0,2,0
48655,0.9897646696125784,0.8501805054151624,0.983,0.874,"Counter({2: 515, 3: 220, 4: 149, 5: 92, 6: 49, 7: 39, 10: 5, 8: 5, 9: 4, 11: 4, 13: 1, 16: 1, 19: 1, 14: 1, 1: 1})",885,202,2,0,3,1
48543,0.9893908493500607,0.8384060244744274,0.981,0.865,"Counter({2: 516, 3: 217, 4: 133, 5: 85, 6: 57, 7: 38, 10: 6, 9: 6, 11: 6, 8: 3, 13: 2, 14: 2, 12: 1, 17: 1, 16: 1})",866,208,1,0,1,1
48816,0.9892453294001966,0.8470725313137198,0.984,0.881,"Counter({2: 525, 3: 228, 4: 153, 5: 87, 6: 55, 7: 35, 8: 4, 9: 3, 11: 3, 10: 2, 12: 1, 16: 1, 17: 1})",906,192,1,0,1,1
48791,0.9898341907318973,0.8539458186101296,0.984,0.882,"Counter({2: 530, 3: 225, 4: 144, 5: 91, 6: 51, 7: 37, 9: 4, 8: 3, 12: 2, 10: 2, 11: 2, 1: 2, 15: 1, 17: 1})",901,194,0,0,3,0
48723,0.9896147609958336,0.8493150684931507,0.983,0.877,"Counter({2: 522, 3: 216, 4: 150, 5: 93, 6: 53, 7: 39, 9: 3, 11: 3, 10: 2, 8: 2, 12: 1, 18: 1, 14: 1, 19: 1})",888,199,0,0,1,1
48691,0.9893204082890061,0.8446833930704899,0.983,0.872,"Counter({2: 514, 3: 215, 4: 152, 5: 89, 6: 52, 7: 38, 9: 5, 8: 4, 11: 4, 12: 2, 10: 2, 15: 1, 16: 1, 18: 1})",881,199,1,0,2,1
48723,0.9897173819346099,0.8526903851808292,0.983,0.876,"Counter({2: 513, 3: 228, 4: 154, 5: 88, 6: 50, 7: 35, 10: 4, 11: 4, 8: 4, 9: 4, 12: 3, 16: 1, 13: 1, 14: 1, 1: 1})",896,195,0,0,3,0
48798,0.990511906225665,0.8600785735871864,0.985,0.89,"Counter({2: 528, 3: 213, 4: 133, 5: 94, 6: 52, 7: 38, 8: 7, 11: 3, 9: 3, 10: 2, 16: 1})",874,200,0,0,1,0
48797,0.990429739533168,0.8587843967342002,0.985,0.89,"Counter({2: 531, 3: 207, 4: 138, 5: 93, 6: 55, 7: 37, 8: 6, 9: 5, 11: 3, 16: 1, 10: 1})",876,201,1,0,1,0
48935,0.9903954224992336,0.8621700879765396,0.987,0.901,"Counter({2: 532, 3: 224, 4: 142, 5: 90, 6: 55, 7: 39, 9: 3, 11: 2, 8: 1, 10: 1})",898,191,2,0,2,0
48890,0.9902024953978319,0.858743733411973,0.986,0.893,"Counter({2: 535, 3: 223, 4: 134, 5: 88, 6: 55, 7: 35, 9: 3, 12: 2, 8: 2, 11: 1, 14: 1, 10: 1})",892,188,0,0,1,0
48938,0.9905186153909028,0.8632881555686506,0.987,0.904,"Counter({2: 545, 3: 209, 4: 145, 5: 90, 6: 56, 7: 38, 9: 4, 8: 3, 11: 1})",899,192,1,0,2,0
48830,0.9901904566864632,0.8578213119620065,0.985,0.89,"Counter({2: 526, 3: 217, 4: 144, 5: 89, 6: 51, 7: 35, 9: 6, 11: 5, 10: 2, 12: 1, 8: 1, 15: 1})",887,191,1,0,2,0
48847,0.9899891497942556,0.8553682342502218,0.985,0.89,"Counter({2: 527, 3: 223, 4: 141, 5: 89, 6: 59, 7: 38, 8: 4, 9: 3, 12: 1, 11: 1, 16: 1})",891,196,1,0,2,0
48756,0.9902165887275413,0.8573137900089739,0.984,0.882,"Counter({2: 524, 3: 218, 4: 140, 5: 86, 6: 50, 7: 34, 8: 5, 9: 4, 11: 3, 15: 2, 12: 2, 10: 2, 17: 1, 16: 1, 1: 1})",883,190,2,0,5,0
48752,0.9906465375779455,0.8644470868014269,0.984,0.884,"Counter({2: 540, 3: 211, 4: 145, 5: 89, 6: 53, 7: 36, 8: 6, 9: 3, 11: 2, 13: 1, 10: 1, 28: 1})",896,192,0,0,2,0
48851,0.9904812593396246,0.8622222222222223,0.986,0.895,"Counter({2: 537, 3: 220, 4: 141, 5: 87, 6: 54, 7: 40, 8: 3, 11: 2, 9: 2, 13: 1, 17: 1, 10: 1})",898,191,1,0,2,0
48772,0.9905068481915853,0.8614187369051183,0.985,0.888,"Counter({2: 536, 3: 212, 4: 142, 5: 90, 6: 56, 7: 34, 8: 5, 10: 3, 11: 2, 9: 2, 13: 1, 15: 1, 18: 1})",890,195,0,0,4,0
48833,0.990457272745889,0.8625368731563422,0.986,0.893,"Counter({2: 536, 3: 214, 4: 149, 5: 89, 6: 56, 7: 38, 9: 4, 10: 2, 16: 1, 8: 1, 11: 1, 18: 1})",899,193,0,0,3,0
48762,0.9900332225913622,0.8566371681415929,0.984,0.885,"Counter({2: 525, 3: 204, 4: 163, 5: 93, 6: 55, 7: 38, 10: 4, 8: 4, 9: 3, 18: 1, 11: 1, 17: 1})",892,200,2,0,4,0
48737,0.9906641771138971,0.863568215892054,0.985,0.885,"Counter({2: 529, 3: 210, 4: 146, 5: 90, 6: 56, 7: 34, 8: 4, 9: 3, 10: 2, 11: 2, 14: 1, 15: 1, 13: 1, 17: 1, 12: 1})",885,196,1,0,2,0
48791,0.9902850935623373,0.8582535885167464,0.985,0.891,"Counter({2: 529, 3: 219, 4: 146, 5: 92, 6: 53, 7: 39, 8: 5, 10: 2, 11: 2, 9: 2, 13: 1, 17: 1})",894,197,0,0,3,0
48747,0.989866043038546,0.8527131782945736,0.984,0.882,"Counter({2: 527, 3: 212, 4: 151, 5: 92, 6: 54, 7: 38, 9: 4, 8: 4, 10: 3, 11: 3, 13: 1, 16: 1})",890,200,0,0,4,0
48703,0.9906165944603001,0.8613050075872535,0.984,0.883,"Counter({2: 533, 3: 203, 4: 143, 5: 90, 6: 49, 7: 37, 9: 8, 8: 4, 10: 4, 11: 2, 13: 1, 22: 1, 15: 1})",879,197,2,0,3,0
48768,0.9901779855643045,0.8590761988820241,0.984,0.885,"Counter({2: 523, 3: 215, 4: 157, 5: 88, 6: 60, 7: 37, 9: 4, 10: 3, 11: 2, 24: 1, 8: 1})",895,196,1,0,2,0
48723,0.9904973010693102,0.8611694152923538,0.984,0.884,"Counter({2: 531, 3: 203, 4: 152, 5: 92, 6: 51, 7: 38, 8: 5, 10: 3, 11: 3, 13: 1, 17: 1, 9: 1, 16: 1, 14: 1})",886,197,0,0,4,1
48800,0.9905327868852459,0.8628266033254156,0.985,0.89,"Counter({2: 537, 3: 211, 4: 145, 5: 91, 6: 54, 7: 37, 8: 4, 9: 3, 12: 1, 10: 1, 21: 1, 11: 1, 14: 1, 1: 1})",894,194,1,0,3,0
48755,0.9913444774894883,0.8711843711843712,0.986,0.894,"Counter({2: 540, 3: 197, 4: 139, 5: 95, 6: 55, 7: 38, 8: 3, 14: 2, 11: 2, 9: 2, 13: 1, 10: 1, 18: 1, 1: 1})",877,200,2,0,3,0
48817,0.9901673597312411,0.8594024604569421,0.985,0.89,"Counter({2: 527, 3: 217, 4: 158, 5: 87, 6: 60, 7: 37, 8: 3, 9: 3, 11: 2, 1: 2, 10: 1, 16: 1})",904,194,1,0,4,0
48836,0.9902530919813253,0.8602466236054023,0.986,0.893,"Counter({2: 532, 3: 218, 4: 152, 5: 90, 6: 57, 7: 36, 9: 4, 8: 3, 13: 1, 17: 1, 1: 1, 11: 1})",903,193,2,0,4,0
48871,0.9901782243048024,0.8589894242068156,0.986,0.896,"Counter({2: 531, 3: 220, 4: 151, 5: 92, 6: 58, 7: 38, 9: 3, 8: 2, 10: 2, 11: 1, 1: 1})",903,196,4,0,4,0
48866,0.990422788851144,0.8608799048751486,0.987,0.9,"Counter({2: 538, 3: 220, 4: 143, 5: 90, 6: 60, 7: 37, 8: 3, 9: 3, 10: 2, 11: 1, 1: 1})",902,196,2,0,2,0
48904,0.9901848519548503,0.8594847775175644,0.987,0.899,"Counter({2: 539, 3: 217, 4: 149, 5: 90, 6: 59, 7: 36, 9: 3, 10: 2, 8: 2, 14: 1, 1: 1})",906,193,1,0,2,0
48879,0.9899752449927371,0.856051703877791,0.986,0.895,"Counter({2: 529, 3: 213, 4: 155, 5: 92, 6: 61, 7: 38, 9: 3, 10: 2, 8: 2, 1: 1})",898,198,1,0,3,0
48890,0.9906115770096134,0.8651982378854626,0.987,0.902,"Counter({2: 537, 3: 208, 4: 155, 5: 91, 6: 61, 7: 38, 10: 3, 9: 3, 8: 1, 1: 1})",901,197,1,0,2,0
48910,0.9905131874872214,0.8635294117647059,0.987,0.903,"Counter({2: 541, 3: 211, 4: 150, 5: 86, 6: 59, 7: 43, 9: 2, 10: 2, 1: 2, 8: 1})",904,193,1,0,3,0
48797,0.9905322048486588,0.8634751773049645,0.986,0.893,"Counter({2: 528, 3: 215, 4: 154, 5: 90, 6: 61, 7: 38, 9: 3, 1: 2, 13: 1, 11: 1, 17: 1, 8: 1, 10: 1, 14: 1})",899,198,2,0,4,0
48889,0.9906727484710262,0.8647686832740215,0.987,0.901,"Counter({2: 543, 3: 211, 4: 142, 5: 87, 6: 57, 7: 38, 9: 3, 8: 2, 10: 2, 1: 2, 17: 1})",898,190,1,0,3,0
48809,0.9901657481202237,0.858323494687131,0.985,0.891,"Counter({2: 522, 3: 220, 4: 154, 5: 90, 6: 59, 7: 35, 9: 3, 13: 2, 10: 2, 11: 2, 1: 2, 17: 1, 8: 1})",898,195,0,0,6,0
48918,0.9904942965779467,0.8641542506573181,0.987,0.903,"Counter({2: 540, 3: 211, 4: 154, 5: 85, 6: 62, 7: 38, 9: 4, 8: 2, 1: 2, 10: 1})",907,192,1,0,4,0
48857,0.9904619604150889,0.8624557260920899,0.987,0.899,"Counter({2: 541, 3: 213, 4: 152, 5: 86, 6: 55, 7: 40, 9: 4, 8: 3, 22: 1, 11: 1, 1: 1})",907,190,0,0,4,0
48803,0.9908202364608734,0.8661887694145759,0.986,0.894,"Counter({2: 544, 3: 199, 4: 147, 5: 92, 6: 55, 7: 34, 9: 4, 8: 2, 13: 2, 10: 2, 1: 2, 17: 1, 11: 1})",892,193,3,0,5,0
48941,0.9902127050938886,0.8599005557180462,0.988,0.904,"Counter({2: 536, 3: 218, 4: 152, 5: 89, 6: 58, 7: 39, 9: 3, 1: 2, 8: 1, 10: 1})",908,191,0,0,4,0
48879,0.9911823073303464,0.8715350223546946,0.988,0.907,"Counter({2: 531, 3: 212, 4: 146, 5: 90, 6: 58, 7: 40, 9: 4, 10: 2, 1: 2, 8: 1, 11: 1})",891,196,1,0,7,0
48881,0.9904257277878931,0.8629173989455184,0.987,0.898,"Counter({2: 535, 3: 219, 4: 151, 5: 92, 6: 58, 7: 36, 9: 4, 1: 2, 15: 1, 8: 1, 11: 1})",907,193,1,0,6,0
48856,0.9905231701326347,0.8626520320379708,0.987,0.901,"Counter({2: 530, 3: 211, 4: 154, 5: 92, 6: 58, 7: 42, 9: 3, 15: 1, 8: 1, 10: 1, 1: 1})",896,198,1,0,5,0
48960,0.9905841503267974,0.8668015024559378,0.988,0.905,"Counter({2: 544, 3: 205, 4: 161, 5: 84, 6: 60, 7: 39, 9: 3, 1: 2, 10: 1})",912,187,1,0,4,0
