P_model,R_model,F1_model_micro,F1_model_macro,F1_model_micro_boot,F1_model_micro_boost_graph,F1_model_macro_boot,F1_pairwise_model,Query,Query_Label,Strategy,Labeled_Set_Size
0.112,0.826,0.197,0.2825,0.205,0.197,0.25433333333333336,"{'sillworks_tweakers': 0.347, 'harddrivesdirect_tweakers': 0.361, 'harddrivesdirect_sillworks': 0.237, 'usapartsdirect_sillworks': 0.157, 'usapartsdirect_harddrivesdirect': 0.178, 'usapartsdirect_tweakers': 0.415}",sillworks_932573-tweakers_6748520,False,disagreement,13
0.116,0.837,0.204,0.31133333333333335,0.204,0.204,0.2545,"{'sillworks_tweakers': 0.318, 'harddrivesdirect_tweakers': 0.46, 'harddrivesdirect_sillworks': 0.245, 'usapartsdirect_sillworks': 0.162, 'usapartsdirect_harddrivesdirect': 0.183, 'usapartsdirect_tweakers': 0.5}",sillworks_5984769-tweakers_17142492,False,disagreement,14
0.35,0.83,0.493,0.5559999999999999,0.205,0.493,0.25466666666666665,"{'sillworks_tweakers': 0.625, 'harddrivesdirect_tweakers': 0.648, 'harddrivesdirect_sillworks': 0.516, 'usapartsdirect_sillworks': 0.419, 'usapartsdirect_harddrivesdirect': 0.486, 'usapartsdirect_tweakers': 0.642}",usapartsdirect_11195747-harddrivesdirect_1241784,False,disagreement,15
0.527,0.733,0.613,0.5381666666666667,0.204,0.613,0.2555,"{'sillworks_tweakers': 0.443, 'harddrivesdirect_tweakers': 0.453, 'harddrivesdirect_sillworks': 0.642, 'usapartsdirect_sillworks': 0.607, 'usapartsdirect_harddrivesdirect': 0.654, 'usapartsdirect_tweakers': 0.43}",usapartsdirect_6407194-sillworks_10700443,False,disagreement,16
0.842,0.693,0.76,0.7335000000000002,0.204,0.76,0.2548333333333333,"{'sillworks_tweakers': 0.686, 'harddrivesdirect_tweakers': 0.663, 'harddrivesdirect_sillworks': 0.788, 'usapartsdirect_sillworks': 0.784, 'usapartsdirect_harddrivesdirect': 0.756, 'usapartsdirect_tweakers': 0.724}",harddrivesdirect_10588510-sillworks_15591684,False,disagreement,17
0.852,0.676,0.754,0.7043333333333334,0.204,0.754,0.2581666666666667,"{'sillworks_tweakers': 0.629, 'harddrivesdirect_tweakers': 0.586, 'harddrivesdirect_sillworks': 0.804, 'usapartsdirect_sillworks': 0.776, 'usapartsdirect_harddrivesdirect': 0.758, 'usapartsdirect_tweakers': 0.673}",harddrivesdirect_7720000-sillworks_5860914,False,disagreement,18
0.841,0.747,0.791,0.7586666666666666,0.204,0.791,0.256,"{'sillworks_tweakers': 0.69, 'harddrivesdirect_tweakers': 0.698, 'harddrivesdirect_sillworks': 0.832, 'usapartsdirect_sillworks': 0.811, 'usapartsdirect_harddrivesdirect': 0.78, 'usapartsdirect_tweakers': 0.741}",harddrivesdirect_7549311-sillworks_10657635,True,disagreement,19
0.595,0.842,0.697,0.6663333333333333,0.205,0.697,0.2591666666666667,"{'sillworks_tweakers': 0.621, 'harddrivesdirect_tweakers': 0.626, 'harddrivesdirect_sillworks': 0.732, 'usapartsdirect_sillworks': 0.676, 'usapartsdirect_harddrivesdirect': 0.707, 'usapartsdirect_tweakers': 0.636}",harddrivesdirect_10407725-sillworks_6118935,True,disagreement,20
0.757,0.794,0.775,0.7245,0.206,0.775,0.2618333333333333,"{'sillworks_tweakers': 0.621, 'harddrivesdirect_tweakers': 0.626, 'harddrivesdirect_sillworks': 0.817, 'usapartsdirect_sillworks': 0.789, 'usapartsdirect_harddrivesdirect': 0.786, 'usapartsdirect_tweakers': 0.708}",usapartsdirect_4105016-sillworks_9674045,False,disagreement,21
0.753,0.83,0.79,0.7639999999999999,0.21,0.79,0.2771666666666667,"{'sillworks_tweakers': 0.713, 'harddrivesdirect_tweakers': 0.719, 'harddrivesdirect_sillworks': 0.816, 'usapartsdirect_sillworks': 0.795, 'usapartsdirect_harddrivesdirect': 0.789, 'usapartsdirect_tweakers': 0.752}",usapartsdirect_16434499-harddrivesdirect_3284417,False,disagreement,22
