addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
48807,0.9941196959452537,0.9132668479903294,0.983,0.882,"Counter({2: 650, 3: 183, 4: 131, 5: 88, 6: 59, 7: 36, 9: 7, 11: 6, 8: 5, 13: 4, 14: 3, 10: 2, 15: 1, 22: 1, 19: 1, 12: 1})",964,214,4,0,0,0
48995,0.9945300540871518,0.9214076246334311,0.986,0.903,"Counter({2: 642, 3: 199, 4: 142, 5: 98, 6: 51, 7: 37, 9: 5, 8: 4, 11: 4, 13: 3, 10: 2, 15: 1, 14: 1, 22: 1})",983,207,1,0,0,0
48616,0.9960712522626296,0.9393843224373215,0.983,0.887,"Counter({2: 632, 3: 178, 4: 129, 5: 93, 6: 61, 7: 41, 9: 7, 8: 6, 13: 4, 11: 4, 10: 3, 14: 2, 15: 2, 26: 1, 17: 1, 22: 1, 28: 1, 19: 1})",939,228,3,0,0,0
48833,0.9959658427702578,0.941141320585599,0.986,0.903,"Counter({2: 622, 3: 198, 4: 152, 5: 100, 6: 55, 7: 38, 9: 6, 11: 6, 8: 4, 13: 3, 10: 3, 15: 1, 14: 1, 22: 1, 12: 1})",972,219,2,0,0,0
48873,0.995539459415219,0.9345738295318128,0.986,0.903,"Counter({2: 639, 3: 191, 4: 142, 5: 94, 6: 57, 7: 42, 9: 9, 11: 6, 8: 4, 13: 2, 10: 2, 15: 1, 22: 1})",972,218,2,0,0,0
48797,0.9962907555792364,0.9448002439768222,0.986,0.905,"Counter({2: 629, 3: 188, 4: 145, 5: 101, 6: 61, 7: 39, 8: 7, 9: 6, 11: 5, 10: 3, 12: 2, 15: 1, 13: 1, 14: 1, 22: 1})",962,228,1,0,3,0
48801,0.9957377922583553,0.9371221281741233,0.985,0.898,"Counter({2: 617, 3: 194, 4: 145, 5: 103, 6: 52, 7: 37, 11: 8, 8: 6, 9: 5, 10: 4, 15: 2, 13: 2, 14: 1, 22: 1})",956,221,2,0,0,0
48671,0.9963016991637731,0.9445812807881774,0.984,0.893,"Counter({2: 622, 3: 188, 4: 146, 5: 104, 6: 52, 7: 39, 11: 7, 8: 6, 9: 6, 10: 4, 13: 3, 18: 2, 15: 2, 28: 1, 1: 1, 12: 1})",957,227,3,0,2,2
48789,0.9954702904343192,0.9338125187181792,0.985,0.897,"Counter({2: 603, 3: 209, 4: 154, 5: 102, 6: 49, 7: 41, 11: 7, 8: 6, 9: 4, 10: 3, 13: 2, 14: 2, 24: 1, 15: 1, 23: 1, 12: 1})",966,220,1,0,2,0
48817,0.9951451338673003,0.929819366301451,0.985,0.897,"Counter({2: 609, 3: 207, 4: 158, 5: 100, 6: 55, 7: 43, 9: 8, 8: 4, 11: 4, 10: 3, 12: 2, 15: 1, 13: 1, 28: 1, 1: 1})",975,222,2,0,2,2
