P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std
0.86,0.0,0.912,0.0,0.885,0.0,0.904,0.0,0.9175,0.0,0.9314999999999999,0.0
0.849,0.0,0.931,0.0,0.888,0.0,0.901,0.0,0.9228333333333333,0.0,0.9296666666666668,0.0
0.838,0.0,0.935,0.0,0.884,0.0,0.891,0.0,0.9153333333333333,0.0,0.9239999999999999,0.0
0.868,0.0,0.921,0.0,0.894,0.0,0.899,0.0,0.9263333333333333,0.0,0.9251666666666667,0.0
0.834,0.0,0.92,0.0,0.875,0.0,0.914,0.0,0.9159999999999999,0.0,0.9396666666666668,0.0
0.853,0.0,0.931,0.0,0.89,0.0,0.884,0.0,0.9225,0.0,0.9205000000000001,0.0
0.876,0.0,0.93,0.0,0.902,0.0,0.906,0.0,0.9323333333333332,0.0,0.9326666666666666,0.0
0.865,0.0,0.929,0.0,0.896,0.0,0.911,0.0,0.9269999999999999,0.0,0.9381666666666666,0.0
0.868,0.0,0.926,0.0,0.896,0.0,0.904,0.0,0.9248333333333334,0.0,0.9321666666666667,0.0
0.91,0.0,0.907,0.0,0.908,0.0,0.9,0.0,0.9318333333333334,0.0,0.926,0.0
0.916,0.0,0.914,0.0,0.915,0.0,0.927,0.0,0.9365,0.0,0.9478333333333334,0.0
0.911,0.0,0.915,0.0,0.913,0.0,0.914,0.0,0.9376666666666668,0.0,0.9375,0.0
0.926,0.0,0.907,0.0,0.916,0.0,0.923,0.0,0.9369999999999999,0.0,0.9451666666666666,0.0
0.918,0.0,0.911,0.0,0.915,0.0,0.923,0.0,0.9354999999999999,0.0,0.9430000000000001,0.0
0.923,0.0,0.904,0.0,0.913,0.0,0.921,0.0,0.9349999999999999,0.0,0.9431666666666666,0.0
0.91,0.0,0.909,0.0,0.909,0.0,0.93,0.0,0.9356666666666666,0.0,0.948,0.0
0.908,0.0,0.919,0.0,0.913,0.0,0.917,0.0,0.9371666666666667,0.0,0.9416666666666665,0.0
