P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.062,0.909,0.117,0.117,0.13729999999999998,0.13729999999999998
0.152,0.889,0.26,0.26,0.45099999999999996,0.45099999999999996
0.343,0.825,0.484,0.484,0.6064,0.6064
0.606,0.82,0.697,0.697,0.7045999999999999,0.7045999999999999
0.693,0.673,0.683,0.683,0.6603,0.6603
0.693,0.764,0.727,0.727,0.7224,0.7224
0.689,0.697,0.693,0.693,0.6759000000000001,0.6759000000000001
0.682,0.694,0.688,0.688,0.6666000000000001,0.6666000000000001
0.685,0.704,0.694,0.694,0.6777,0.6777
0.68,0.621,0.649,0.649,0.6122,0.6122
0.678,0.659,0.668,0.668,0.6397,0.6397
0.678,0.658,0.668,0.668,0.6386000000000001,0.6386000000000001
0.678,0.679,0.679,0.679,0.6538999999999999,0.6538999999999999
0.677,0.647,0.662,0.662,0.6336,0.6336
0.697,0.668,0.682,0.682,0.6587000000000001,0.6587000000000001
0.687,0.641,0.663,0.663,0.6299000000000001,0.6299000000000001
0.673,0.627,0.649,0.649,0.6115,0.6115
0.669,0.652,0.661,0.661,0.6272999999999999,0.6272999999999999
0.667,0.66,0.664,0.664,0.6223,0.6223
0.675,0.639,0.656,0.656,0.6197,0.6197
0.688,0.656,0.672,0.672,0.6388,0.6388
0.68,0.659,0.669,0.669,0.6392,0.6392
0.667,0.667,0.667,0.667,0.6274,0.6274
0.671,0.639,0.654,0.654,0.6167999999999999,0.6167999999999999
0.667,0.618,0.642,0.642,0.5885,0.5885
0.665,0.613,0.638,0.638,0.5898,0.5898
0.67,0.616,0.642,0.642,0.5905,0.5905
0.681,0.635,0.657,0.657,0.6119999999999999,0.6119999999999999
0.661,0.631,0.646,0.646,0.5877,0.5877
0.664,0.648,0.656,0.656,0.6011,0.6011
0.664,0.604,0.632,0.632,0.5767,0.5767
0.662,0.595,0.627,0.627,0.5711999999999999,0.5711999999999999
0.666,0.608,0.636,0.636,0.5771999999999999,0.5771999999999999
0.664,0.624,0.643,0.643,0.5900000000000001,0.5900000000000001
0.671,0.603,0.635,0.635,0.5797,0.5797
0.664,0.624,0.644,0.644,0.5895,0.5895
0.669,0.647,0.658,0.658,0.6045,0.6045
0.67,0.615,0.642,0.642,0.5844,0.5844
0.674,0.627,0.649,0.649,0.5934,0.5934
0.659,0.627,0.642,0.642,0.584,0.584
0.672,0.607,0.638,0.638,0.5844,0.5844
0.668,0.612,0.639,0.639,0.5853999999999999,0.5853999999999999
0.664,0.587,0.623,0.623,0.5613,0.5613
0.664,0.624,0.643,0.643,0.5821,0.5821
0.67,0.615,0.641,0.641,0.5851,0.5851
