P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.923,0.861,0.891,0.914,0.8926000000000001,0.9168
0.929,0.862,0.894,0.917,0.8964000000000001,0.9178999999999998
0.934,0.851,0.891,0.921,0.8929,0.9233
0.927,0.845,0.884,0.919,0.8878999999999999,0.9205
0.935,0.851,0.891,0.918,0.8928,0.9189999999999999
0.919,0.843,0.879,0.92,0.8807,0.9227000000000001
0.936,0.832,0.881,0.912,0.8815999999999999,0.9134
0.933,0.826,0.876,0.916,0.8742000000000001,0.9177
0.928,0.848,0.886,0.913,0.8876,0.915
0.93,0.852,0.889,0.921,0.8899000000000001,0.9236999999999999
0.922,0.853,0.886,0.921,0.8871,0.9228999999999999
0.928,0.837,0.88,0.917,0.8799999999999999,0.9188000000000001
0.934,0.839,0.884,0.92,0.8832000000000001,0.9216
0.93,0.853,0.89,0.921,0.8914,0.9223000000000001
0.908,0.845,0.875,0.918,0.8760999999999999,0.9179
0.944,0.841,0.89,0.899,0.8914,0.9005000000000001
0.916,0.857,0.885,0.922,0.8858,0.9231
0.917,0.856,0.885,0.909,0.8863,0.9112
0.933,0.842,0.885,0.91,0.8858,0.9114999999999999
0.925,0.844,0.883,0.919,0.8848999999999998,0.9216000000000001
0.928,0.853,0.889,0.915,0.8871,0.9171000000000001
0.941,0.851,0.893,0.918,0.8951,0.9189
0.932,0.866,0.897,0.924,0.8967,0.9257
0.932,0.849,0.889,0.923,0.8896000000000001,0.9238
0.934,0.861,0.896,0.921,0.8985,0.922
0.922,0.859,0.889,0.922,0.8938,0.9235
0.938,0.869,0.902,0.919,0.9040000000000001,0.9213000000000001
0.923,0.875,0.898,0.923,0.8995,0.9246000000000001
0.938,0.865,0.9,0.919,0.9004999999999999,0.9204000000000001
0.93,0.878,0.903,0.923,0.9027,0.9246000000000001
0.921,0.88,0.9,0.921,0.9016,0.9208000000000001
0.923,0.877,0.899,0.921,0.9004,0.9222000000000001
0.921,0.862,0.89,0.923,0.8885000000000002,0.9240999999999999
0.928,0.869,0.898,0.92,0.8967,0.9212999999999999
0.916,0.885,0.9,0.922,0.9009,0.9225000000000001
0.922,0.875,0.898,0.922,0.899,0.9233
0.933,0.865,0.898,0.92,0.8988999999999999,0.9218
0.927,0.878,0.902,0.92,0.9037,0.9214
0.929,0.877,0.902,0.921,0.9025000000000001,0.9217000000000001
0.929,0.877,0.902,0.92,0.9026,0.9211
0.93,0.873,0.901,0.919,0.8996999999999999,0.9194000000000001
0.913,0.881,0.897,0.92,0.8983000000000001,0.9217000000000001
0.933,0.877,0.904,0.916,0.9034000000000001,0.9174
0.93,0.873,0.9,0.925,0.9003,0.9257
0.939,0.878,0.907,0.922,0.9076000000000001,0.9225000000000001
0.932,0.865,0.897,0.924,0.8977999999999999,0.9255000000000001
0.934,0.876,0.904,0.923,0.9037000000000001,0.9253
0.938,0.878,0.907,0.924,0.9084,0.9244
0.936,0.883,0.909,0.927,0.9097000000000002,0.9282999999999999
0.93,0.886,0.907,0.929,0.9072999999999999,0.9301999999999999
0.935,0.882,0.908,0.926,0.9074,0.9267
0.929,0.89,0.909,0.926,0.9093,0.9269000000000001
0.944,0.879,0.911,0.921,0.9100999999999999,0.9228000000000002
0.936,0.889,0.912,0.928,0.9116,0.9286
0.937,0.89,0.913,0.928,0.9129999999999999,0.9293000000000001
0.937,0.889,0.913,0.929,0.9127000000000001,0.9296
0.942,0.891,0.916,0.928,0.9168999999999998,0.9288000000000001
0.929,0.895,0.912,0.925,0.9130999999999998,0.9253
0.935,0.898,0.916,0.928,0.9170999999999999,0.9287000000000001
0.938,0.901,0.919,0.927,0.9202,0.9279
0.92,0.903,0.911,0.93,0.9134,0.9306999999999999
0.923,0.898,0.91,0.916,0.9114999999999999,0.9168
0.927,0.896,0.911,0.924,0.9129999999999999,0.9244999999999999
0.945,0.893,0.919,0.922,0.9193999999999999,0.9231
0.94,0.895,0.917,0.929,0.9172,0.9297000000000001
0.937,0.898,0.917,0.925,0.9184000000000001,0.9259999999999999
0.933,0.902,0.917,0.927,0.9179,0.9279
0.936,0.892,0.914,0.925,0.9142999999999999,0.9263999999999999
0.937,0.886,0.911,0.925,0.9112,0.9258999999999998
0.93,0.888,0.909,0.927,0.9107000000000001,0.9278000000000001
0.936,0.897,0.916,0.924,0.9179000000000002,0.9252
0.935,0.893,0.914,0.927,0.9144,0.9292999999999999
0.932,0.894,0.913,0.924,0.9136,0.9254
0.921,0.898,0.909,0.92,0.9112,0.9224
0.92,0.897,0.908,0.921,0.9109,0.9216000000000001
0.939,0.897,0.918,0.922,0.9193999999999999,0.9232000000000001
0.942,0.898,0.919,0.929,0.9202000000000001,0.9305000000000001
0.941,0.895,0.918,0.931,0.9187000000000001,0.9315
0.941,0.9,0.92,0.929,0.9216999999999999,0.9302000000000001
0.942,0.89,0.915,0.928,0.9163,0.9294
0.946,0.897,0.921,0.928,0.9224,0.9287999999999998
0.937,0.895,0.915,0.934,0.9168999999999998,0.9346
0.935,0.895,0.915,0.928,0.9162000000000001,0.9292
0.943,0.897,0.92,0.93,0.9208000000000001,0.9311
0.939,0.891,0.915,0.932,0.9158999999999999,0.9324999999999999
0.946,0.893,0.919,0.929,0.9194000000000001,0.9299
0.952,0.894,0.922,0.93,0.9222999999999999,0.9315
0.94,0.897,0.918,0.934,0.9198000000000001,0.9343
0.945,0.896,0.92,0.93,0.9204000000000001,0.9315
0.938,0.895,0.916,0.934,0.9168999999999998,0.9339999999999999
0.938,0.891,0.914,0.925,0.9137000000000001,0.9265999999999999
0.945,0.892,0.918,0.921,0.9172,0.9213000000000001
0.939,0.895,0.916,0.931,0.9154,0.9315000000000001
0.94,0.896,0.917,0.927,0.9171999999999999,0.9277
