addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
252989,0.9938613931831028,0.9191019430119289,0.983,0.817,"Counter({2: 1428, 3: 708, 4: 384, 5: 351, 6: 42, 7: 27, 8: 18, 10: 7, 11: 5, 9: 5, 15: 3, 12: 3, 14: 3, 13: 2, 29: 1, 44: 1, 63: 1, 96: 1, 23: 1, 1: 1})",2872,120,22,0,2,0,
249337,0.994569598575422,0.9246438112199465,0.973,0.753,"Counter({2: 1392, 3: 689, 4: 411, 5: 345, 6: 75, 7: 32, 9: 21, 8: 20, 10: 12, 11: 10, 13: 7, 12: 7, 14: 4, 17: 4, 18: 3, 16: 3, 15: 2, 20: 2, 46: 1, 211: 1, 94: 1, 23: 1, 107: 1, 22: 1, 25: 1, 21: 1, 32: 1, 1: 1})",2838,211,45,0,4,0,
249385,0.9950558373599053,0.9312057133292416,0.974,0.76,"Counter({2: 1382, 3: 684, 4: 416, 5: 341, 6: 66, 7: 43, 8: 25, 9: 18, 10: 12, 11: 8, 14: 7, 13: 6, 12: 6, 22: 5, 21: 3, 18: 2, 16: 2, 27: 2, 32: 1, 48: 1, 36: 1, 93: 1, 54: 1, 84: 1, 29: 1, 108: 1, 17: 1, 25: 1, 1: 1})",2824,215,43,0,4,0,
248943,0.9950189400786525,0.9305866547245858,0.973,0.751,"Counter({2: 1390, 3: 686, 4: 423, 5: 342, 6: 75, 7: 38, 8: 29, 9: 24, 10: 12, 13: 12, 11: 8, 12: 7, 15: 5, 14: 4, 21: 2, 43: 2, 16: 2, 18: 2, 35: 1, 20: 1, 55: 1, 39: 1, 91: 1, 25: 1, 44: 1, 109: 1, 19: 1, 22: 1, 26: 1, 23: 1, 27: 1, 17: 1, 1: 1})",2842,236,38,0,4,0,
244345,0.9949620413759234,0.9231729389003308,0.958,0.668,"Counter({2: 1288, 3: 642, 4: 379, 5: 307, 6: 84, 7: 38, 8: 26, 9: 19, 11: 16, 10: 12, 15: 9, 12: 7, 13: 6, 14: 6, 17: 6, 27: 3, 29: 3, 59: 2, 16: 2, 20: 2, 18: 2, 675: 1, 399: 1, 73: 1, 21: 1, 47: 1, 22: 1, 25: 1, 32: 1, 19: 1, 24: 1, 33: 1, 1: 1})",2617,254,105,0,3,0,
