addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
252331,0.9931439260336621,0.9082228116710874,0.98,0.792,"Counter({2: 1335, 3: 695, 4: 379, 5: 346, 6: 44, 7: 26, 8: 12, 10: 12, 9: 8, 11: 6, 12: 5, 15: 3, 13: 3, 20: 2, 14: 2, 39: 1, 35: 1, 16: 1, 18: 1, 68: 1, 101: 1, 19: 1})",2755,130,11,0,0,0,
249109,0.9935449943598986,0.8995125609298837,0.975,0.761,"Counter({2: 1228, 3: 644, 4: 377, 5: 300, 6: 85, 7: 58, 8: 42, 9: 25, 10: 13, 12: 9, 13: 9, 11: 8, 14: 6, 15: 5, 19: 4, 22: 4, 18: 3, 21: 3, 17: 2, 35: 2, 20: 2, 36: 2, 25: 2, 23: 1, 89: 1, 39: 1, 43: 1, 31: 1, 70: 1, 120: 1, 33: 1, 16: 1, 24: 1})",2549,294,100,1,0,0,
223248,0.9930077761054971,0.8441649196366178,0.885,0.409,"Counter({2: 815, 3: 372, 4: 224, 5: 187, 6: 48, 7: 33, 8: 19, 9: 18, 10: 13, 11: 12, 14: 8, 12: 6, 13: 5, 22: 4, 15: 3, 16: 3, 19: 2, 37: 2, 24: 2, 5217: 1, 40: 1, 29: 1, 20: 1, 30: 1, 17: 1, 18: 1, 25: 1, 1: 1})",1599,186,82,0,5,0,
228970,0.9936629252740534,0.864884998603222,0.908,0.471,"Counter({2: 906, 3: 456, 4: 276, 5: 208, 6: 78, 7: 39, 8: 38, 9: 24, 10: 13, 13: 11, 12: 11, 14: 10, 11: 10, 19: 5, 15: 4, 20: 2, 30: 2, 17: 2, 24: 2, 4104: 1, 58: 1, 18: 1, 37: 1, 41: 1, 95: 1, 16: 1, 47: 1, 45: 1, 31: 1, 22: 1, 26: 1, 23: 1, 28: 1, 21: 1, 25: 1, 1: 1})",1847,267,131,0,2,0,
223346,0.9946182156832896,0.8886418380581805,0.887,0.425,"Counter({2: 942, 3: 475, 4: 266, 5: 204, 6: 75, 7: 36, 8: 15, 9: 14, 10: 10, 12: 10, 11: 8, 13: 5, 14: 4, 15: 4, 21: 3, 16: 3, 22: 2, 18: 2, 4913: 1, 44: 1, 70: 1, 27: 1, 26: 1, 34: 1, 35: 1, 30: 1, 28: 1, 20: 1, 19: 1, 29: 1, 1: 1})",1888,203,151,0,1,0,
