P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.049,0.936,0.092,0.092,0.0929,0.0929
0.093,0.91,0.168,0.168,0.318,0.318
0.094,0.827,0.169,0.169,0.2888,0.2888
0.205,0.762,0.323,0.323,0.5192,0.5192
0.131,0.925,0.229,0.229,0.38170000000000004,0.38170000000000004
0.243,0.918,0.384,0.384,0.47519999999999996,0.47519999999999996
0.421,0.9,0.573,0.573,0.6112,0.6112
0.586,0.843,0.691,0.691,0.6910000000000001,0.6910000000000001
0.625,0.826,0.712,0.712,0.7168,0.7168
0.674,0.807,0.734,0.734,0.7329,0.7329
0.655,0.808,0.724,0.724,0.7231,0.7231
0.636,0.777,0.699,0.699,0.6969000000000001,0.6969000000000001
0.699,0.752,0.725,0.725,0.7188000000000001,0.7188000000000001
0.688,0.707,0.697,0.697,0.6883000000000001,0.6883000000000001
0.746,0.728,0.737,0.737,0.7307,0.7307
0.717,0.766,0.741,0.741,0.7318,0.7318
0.84,0.686,0.755,0.755,0.7135,0.7135
0.926,0.676,0.782,0.782,0.7427,0.7427
0.854,0.71,0.775,0.775,0.7414,0.7414
0.781,0.792,0.786,0.786,0.7607999999999999,0.7607999999999999
0.8,0.797,0.798,0.798,0.7706,0.7706
0.846,0.788,0.816,0.816,0.7790999999999999,0.7790999999999999
0.713,0.804,0.756,0.756,0.7285000000000001,0.7285000000000001
0.836,0.793,0.814,0.814,0.7769,0.7769
0.827,0.796,0.811,0.811,0.766,0.766
0.858,0.791,0.823,0.823,0.799,0.799
0.826,0.797,0.811,0.811,0.7797,0.7797
0.803,0.81,0.807,0.807,0.7777000000000001,0.7777000000000001
0.756,0.813,0.783,0.783,0.7506,0.7506
0.791,0.797,0.794,0.794,0.7515000000000001,0.7515000000000001
0.748,0.81,0.778,0.778,0.7368000000000001,0.7368000000000001
0.741,0.79,0.765,0.765,0.725,0.725
0.748,0.79,0.768,0.768,0.7487,0.7487
0.831,0.769,0.799,0.799,0.749,0.749
0.82,0.773,0.796,0.796,0.7623,0.7623
0.858,0.746,0.798,0.798,0.7508999999999999,0.7508999999999999
0.905,0.756,0.824,0.824,0.7833,0.7833
0.908,0.792,0.847,0.847,0.8271000000000001,0.8271000000000001
0.904,0.779,0.837,0.837,0.8051,0.8051
0.889,0.768,0.824,0.824,0.7827,0.7827
0.893,0.778,0.832,0.832,0.8016,0.8016
0.844,0.763,0.801,0.801,0.7732,0.7732
0.842,0.807,0.824,0.824,0.8103,0.8103
0.862,0.768,0.812,0.812,0.7722,0.7722
0.901,0.753,0.82,0.82,0.7746000000000001,0.7746000000000001
0.887,0.77,0.824,0.824,0.8,0.8
0.834,0.787,0.81,0.81,0.791,0.791
0.837,0.796,0.816,0.816,0.806,0.806
0.865,0.805,0.834,0.834,0.8227,0.8227
0.865,0.781,0.821,0.821,0.8031,0.8031
0.861,0.783,0.82,0.82,0.8074,0.8074
0.884,0.767,0.821,0.821,0.8013,0.8013
0.88,0.83,0.854,0.854,0.85,0.85
0.875,0.839,0.857,0.857,0.8507,0.8507
0.885,0.842,0.863,0.863,0.8593999999999999,0.8593999999999999
0.879,0.825,0.851,0.851,0.8471,0.8471
0.881,0.821,0.85,0.85,0.8428000000000001,0.8428000000000001
0.884,0.857,0.87,0.87,0.866,0.866
0.882,0.858,0.87,0.87,0.8664,0.8664
0.876,0.856,0.866,0.866,0.8626999999999999,0.8626999999999999
0.887,0.851,0.869,0.869,0.8654999999999999,0.8654999999999999
0.881,0.84,0.86,0.86,0.8518000000000001,0.8518000000000001
0.881,0.84,0.86,0.86,0.8508999999999999,0.8508999999999999
0.902,0.819,0.858,0.858,0.8417,0.8417
0.865,0.814,0.839,0.839,0.8129,0.8129
0.857,0.815,0.835,0.835,0.8138,0.8138
0.884,0.814,0.848,0.848,0.8263999999999999,0.8263999999999999
0.875,0.813,0.843,0.843,0.8238999999999999,0.8238999999999999
0.862,0.804,0.832,0.832,0.8039999999999999,0.8039999999999999
0.867,0.801,0.833,0.833,0.8051,0.8051
0.85,0.828,0.839,0.839,0.8192999999999999,0.8192999999999999
0.819,0.816,0.818,0.818,0.7965,0.7965
0.815,0.829,0.822,0.822,0.8008000000000001,0.8008000000000001
0.881,0.811,0.845,0.845,0.8134,0.8134
0.899,0.819,0.857,0.857,0.8331,0.8331
0.896,0.822,0.857,0.857,0.8406,0.8406
0.884,0.821,0.851,0.851,0.8286000000000001,0.8286000000000001
0.866,0.817,0.841,0.841,0.8186,0.8186
0.887,0.814,0.849,0.849,0.8270000000000002,0.8270000000000002
0.879,0.827,0.852,0.852,0.8338000000000001,0.8338000000000001
0.88,0.825,0.852,0.852,0.8328,0.8328
0.869,0.81,0.838,0.838,0.8101,0.8101
0.872,0.827,0.849,0.849,0.8228,0.8228
0.877,0.838,0.857,0.857,0.8375999999999999,0.8375999999999999
0.867,0.838,0.852,0.852,0.8298,0.8298
0.885,0.828,0.856,0.856,0.8400000000000001,0.8400000000000001
0.865,0.834,0.849,0.849,0.8315000000000001,0.8315000000000001
0.886,0.851,0.868,0.868,0.8625,0.8625
0.888,0.863,0.875,0.875,0.8680999999999999,0.8680999999999999
0.885,0.862,0.873,0.873,0.8663000000000001,0.8663000000000001
0.884,0.861,0.873,0.873,0.8683,0.8683
0.878,0.858,0.868,0.868,0.8601999999999999,0.8601999999999999
0.89,0.871,0.88,0.88,0.8771000000000001,0.8771000000000001
0.889,0.867,0.878,0.878,0.8744,0.8744
0.898,0.862,0.879,0.879,0.8755,0.8755
0.89,0.868,0.879,0.879,0.8755,0.8755
0.895,0.859,0.877,0.877,0.8737999999999999,0.8737999999999999
0.894,0.862,0.878,0.878,0.8733000000000001,0.8733000000000001
0.901,0.856,0.878,0.878,0.8748000000000001,0.8748000000000001
0.885,0.854,0.869,0.869,0.8640000000000001,0.8640000000000001
0.89,0.854,0.871,0.871,0.8668000000000001,0.8668000000000001
0.89,0.857,0.873,0.873,0.8685,0.8685
0.896,0.854,0.875,0.875,0.8689,0.8689
0.88,0.852,0.866,0.866,0.8598000000000001,0.8598000000000001
0.893,0.869,0.881,0.881,0.8772,0.8772
0.913,0.861,0.886,0.886,0.8826,0.8826
0.893,0.866,0.88,0.88,0.8751000000000001,0.8751000000000001
0.895,0.858,0.876,0.876,0.8712,0.8712
0.88,0.876,0.878,0.878,0.8748000000000001,0.8748000000000001
0.902,0.882,0.892,0.892,0.8901,0.8901
0.913,0.874,0.893,0.893,0.8913,0.8913
0.913,0.881,0.897,0.897,0.8956999999999999,0.8956999999999999
0.912,0.87,0.891,0.891,0.8891,0.8891
0.905,0.881,0.893,0.893,0.8923,0.8923
0.921,0.876,0.898,0.898,0.8958,0.8958
0.919,0.88,0.899,0.899,0.8983000000000001,0.8983000000000001
0.911,0.869,0.89,0.89,0.8876,0.8876
0.912,0.875,0.893,0.893,0.8922000000000001,0.8922000000000001
0.919,0.875,0.896,0.896,0.8944000000000001,0.8944000000000001
0.912,0.88,0.896,0.896,0.8953,0.8953
0.903,0.888,0.895,0.895,0.8939,0.8939
0.912,0.883,0.898,0.898,0.8964000000000001,0.8964000000000001
0.918,0.886,0.902,0.902,0.901,0.901
0.896,0.889,0.893,0.893,0.8924999999999998,0.8924999999999998
0.903,0.892,0.898,0.898,0.8962,0.8962
0.909,0.886,0.898,0.898,0.8973000000000001,0.8973000000000001
0.904,0.885,0.894,0.894,0.8937999999999999,0.8937999999999999
0.913,0.888,0.901,0.901,0.9008999999999998,0.9008999999999998
0.905,0.896,0.901,0.901,0.9,0.9
0.828,0.892,0.859,0.859,0.8665999999999998,0.8665999999999998
0.852,0.895,0.873,0.873,0.8759,0.8759
0.829,0.89,0.858,0.858,0.8667,0.8667
0.852,0.89,0.871,0.871,0.8739000000000001,0.8739000000000001
0.874,0.89,0.882,0.882,0.882,0.882
0.855,0.886,0.871,0.871,0.8734999999999999,0.8734999999999999
0.883,0.891,0.887,0.887,0.8871,0.8871
0.84,0.898,0.868,0.868,0.8651,0.8651
0.869,0.895,0.882,0.882,0.8815,0.8815
0.865,0.886,0.875,0.875,0.8731000000000002,0.8731000000000002
0.875,0.888,0.882,0.882,0.8811,0.8811
0.882,0.896,0.889,0.889,0.8875,0.8875
0.88,0.892,0.886,0.886,0.8836999999999999,0.8836999999999999
