addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
48636,0.9946130438358418,0.9189857761286334,0.982,0.875,"Counter({2: 637, 3: 204, 4: 124, 5: 85, 6: 54, 7: 29, 10: 9, 9: 9, 8: 7, 11: 6, 13: 5, 14: 2, 17: 1, 15: 1, 12: 1, 29: 1, 19: 1, 18: 1})",965,212,4,0,0,0
49088,0.993134778357236,0.9045055256446586,0.985,0.895,"Counter({2: 658, 3: 198, 4: 149, 5: 86, 6: 51, 7: 30, 9: 6, 8: 4, 10: 4, 13: 3, 11: 3, 15: 2, 14: 1, 12: 1, 22: 1})",1005,192,5,0,1,0
49216,0.9935183680104032,0.9100648435297435,0.987,0.909,"Counter({2: 680, 3: 210, 4: 132, 5: 86, 6: 50, 7: 34, 8: 4, 10: 4, 9: 3, 11: 2, 13: 2, 15: 1, 12: 1, 20: 1})",1022,188,1,0,1,0
49265,0.9945600324774181,0.9242081447963801,0.99,0.927,"Counter({2: 668, 3: 212, 4: 140, 5: 90, 6: 53, 7: 39, 8: 4, 9: 4, 15: 2, 13: 1, 11: 1})",1020,194,1,0,0,0
49373,0.9946124399975695,0.9262340543538546,0.991,0.936,"Counter({2: 670, 3: 216, 4: 144, 5: 92, 6: 54, 7: 39, 9: 4, 8: 2, 10: 1})",1030,192,0,0,0,0
49223,0.9953477033094286,0.9344403091898082,0.991,0.935,"Counter({2: 648, 3: 222, 4: 141, 5: 96, 6: 53, 7: 42, 9: 5, 8: 4, 11: 2, 15: 1})",1011,203,2,0,1,0
49220,0.9952458350264121,0.9332953249714937,0.991,0.932,"Counter({2: 648, 3: 215, 4: 146, 5: 93, 6: 59, 7: 39, 9: 5, 8: 2, 10: 2, 17: 1, 15: 1, 11: 1})",1009,203,2,0,1,0
49386,0.9943101283764629,0.9217488164856585,0.992,0.939,"Counter({2: 661, 3: 220, 4: 144, 5: 100, 6: 50, 7: 36, 9: 5, 8: 2, 11: 1})",1025,194,1,0,2,0
49402,0.9939071292660216,0.9162726008344924,0.991,0.936,"Counter({2: 666, 3: 223, 4: 139, 5: 93, 6: 55, 7: 37, 9: 4, 11: 1, 8: 1})",1028,191,0,0,2,1
49266,0.9951284861770795,0.9316239316239316,0.991,0.935,"Counter({2: 665, 3: 215, 4: 137, 5: 91, 6: 56, 7: 38, 8: 5, 9: 4, 11: 2, 13: 1, 10: 1, 1: 1})",1018,198,2,0,1,0
