addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
48943,0.9956275667613346,0.9368731563421828,0.988,0.917,"Counter({2: 581, 3: 212, 4: 169, 5: 109, 6: 59, 7: 46, 8: 8, 9: 6, 11: 3, 15: 1, 12: 1, 10: 1})",962,234,1,0,0,0,
48758,0.9955494482956643,0.9342224916641406,0.985,0.9,"Counter({2: 559, 3: 205, 4: 167, 5: 106, 6: 66, 7: 45, 8: 8, 9: 6, 11: 5, 12: 4, 10: 2, 15: 1, 18: 1})",931,244,2,0,1,0,
49026,0.9955737771794558,0.93641957222385,0.988,0.917,"Counter({2: 627, 3: 201, 4: 150, 5: 97, 6: 55, 7: 44, 9: 6, 8: 5, 10: 3, 11: 2, 14: 1, 13: 1, 17: 1})",978,215,3,0,0,0,
48886,0.9950087959743076,0.9275964391691394,0.985,0.898,"Counter({2: 627, 3: 205, 4: 140, 5: 97, 6: 51, 7: 40, 9: 7, 8: 6, 11: 6, 10: 3, 12: 2, 15: 1, 13: 1, 22: 1})",972,215,3,0,0,0,
49075,0.9957412124299542,0.9384751251103916,0.989,0.925,"Counter({2: 640, 3: 200, 4: 145, 5: 99, 6: 53, 7: 44, 9: 6, 8: 5, 10: 3, 11: 3, 15: 1})",985,214,3,0,0,0,
48871,0.9971148533895358,0.9570514773073409,0.988,0.918,"Counter({2: 628, 3: 189, 4: 144, 5: 109, 6: 53, 7: 45, 8: 7, 9: 6, 10: 3, 17: 2, 14: 2, 11: 2, 12: 1})",961,230,4,0,0,0,
49053,0.9954538968054961,0.9343538416249632,0.989,0.922,"Counter({2: 591, 3: 201, 4: 162, 5: 108, 6: 52, 7: 48, 8: 8, 9: 4, 10: 2, 14: 1, 12: 1, 11: 1})",954,225,1,0,0,0,
49252,0.996304718590108,0.9481776765375853,0.993,0.947,"Counter({2: 641, 3: 201, 4: 166, 5: 100, 6: 54, 7: 45, 9: 4, 8: 3, 10: 1})",1008,207,0,0,0,0,
49139,0.9968456826553247,0.9545321208565563,0.992,0.942,"Counter({2: 638, 3: 199, 4: 151, 5: 114, 6: 50, 7: 47, 8: 5, 9: 4, 12: 1, 10: 1})",988,222,0,0,0,0,
49057,0.9966569500784801,0.9515366430260047,0.991,0.935,"Counter({2: 615, 3: 202, 4: 160, 5: 107, 6: 57, 7: 48, 8: 8, 9: 5, 12: 1, 10: 1})",977,227,2,0,0,0,
