P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.151,0.953,0.261,0.261,0.521,0.521
0.571,0.722,0.638,0.638,0.6943333333333334,0.6943333333333334
0.758,0.618,0.681,0.681,0.7105,0.7105
0.783,0.493,0.605,0.605,0.6613333333333333,0.6613333333333333
0.64,0.729,0.681,0.681,0.7173333333333334,0.7173333333333334
0.551,0.874,0.676,0.676,0.7033333333333333,0.7033333333333333
0.589,0.87,0.703,0.703,0.7218333333333332,0.7218333333333332
0.677,0.821,0.742,0.742,0.6835,0.6835
0.661,0.875,0.753,0.753,0.7598333333333334,0.7598333333333334
0.688,0.858,0.764,0.764,0.7683333333333334,0.7683333333333334
0.729,0.811,0.768,0.768,0.7633333333333333,0.7633333333333333
0.797,0.768,0.782,0.782,0.7735,0.7735
0.814,0.808,0.811,0.811,0.7921666666666667,0.7921666666666667
0.82,0.831,0.825,0.825,0.8075,0.8075
0.88,0.803,0.84,0.84,0.8503333333333334,0.8503333333333334
0.78,0.746,0.763,0.763,0.7675000000000001,0.7675000000000001
0.845,0.831,0.838,0.838,0.8191666666666667,0.8191666666666667
0.852,0.869,0.86,0.86,0.867,0.867
0.805,0.884,0.843,0.843,0.8503333333333334,0.8503333333333334
0.805,0.923,0.86,0.86,0.8905,0.8905
0.779,0.921,0.844,0.844,0.8683333333333335,0.8683333333333335
0.812,0.922,0.864,0.864,0.8891666666666667,0.8891666666666667
0.782,0.894,0.834,0.834,0.8516666666666666,0.8516666666666666
0.81,0.915,0.859,0.859,0.8791666666666665,0.8791666666666665
0.813,0.909,0.858,0.858,0.8785,0.8785
0.819,0.918,0.866,0.866,0.8828333333333335,0.8828333333333335
0.836,0.877,0.856,0.856,0.8681666666666666,0.8681666666666666
0.861,0.857,0.859,0.859,0.8628333333333332,0.8628333333333332
0.846,0.859,0.853,0.853,0.8628333333333332,0.8628333333333332
0.82,0.887,0.852,0.852,0.8676666666666666,0.8676666666666666
0.819,0.808,0.813,0.813,0.8035000000000001,0.8035000000000001
0.817,0.868,0.842,0.842,0.8549999999999999,0.8549999999999999
0.788,0.841,0.813,0.813,0.8243333333333333,0.8243333333333333
0.836,0.844,0.84,0.84,0.8338333333333333,0.8338333333333333
0.842,0.818,0.83,0.83,0.8113333333333334,0.8113333333333334
0.825,0.82,0.822,0.822,0.8075,0.8075
0.851,0.823,0.837,0.837,0.8268333333333332,0.8268333333333332
0.854,0.809,0.831,0.831,0.8086666666666668,0.8086666666666668
0.863,0.872,0.867,0.867,0.8833333333333333,0.8833333333333333
0.863,0.866,0.864,0.864,0.8815,0.8815
0.858,0.881,0.869,0.869,0.8848333333333334,0.8848333333333334
0.858,0.917,0.886,0.886,0.9188333333333333,0.9188333333333333
0.896,0.886,0.891,0.891,0.9236666666666666,0.9236666666666666
0.896,0.886,0.891,0.891,0.9236666666666667,0.9236666666666667
0.903,0.892,0.898,0.898,0.9291666666666666,0.9291666666666666
0.907,0.885,0.896,0.896,0.9266666666666666,0.9266666666666666
0.896,0.888,0.892,0.892,0.9176666666666667,0.9176666666666667
0.891,0.905,0.898,0.898,0.9253333333333332,0.9253333333333332
0.89,0.897,0.894,0.894,0.9211666666666667,0.9211666666666667
0.887,0.91,0.899,0.899,0.9294999999999999,0.9294999999999999
0.917,0.883,0.899,0.899,0.9269999999999999,0.9269999999999999
0.917,0.898,0.907,0.907,0.9351666666666668,0.9351666666666668
0.914,0.912,0.913,0.913,0.9390000000000001,0.9390000000000001
0.905,0.903,0.904,0.904,0.926,0.926
0.913,0.907,0.91,0.91,0.9373333333333335,0.9373333333333335
0.915,0.904,0.909,0.909,0.9326666666666666,0.9326666666666666
0.909,0.882,0.895,0.895,0.9191666666666668,0.9191666666666668
0.918,0.899,0.909,0.909,0.9351666666666666,0.9351666666666666
0.906,0.903,0.904,0.904,0.9330000000000002,0.9330000000000002
0.91,0.919,0.915,0.915,0.9403333333333332,0.9403333333333332
0.92,0.904,0.912,0.912,0.9361666666666667,0.9361666666666667
0.915,0.9,0.907,0.907,0.9331666666666666,0.9331666666666666
0.916,0.907,0.912,0.912,0.9383333333333334,0.9383333333333334
0.917,0.891,0.904,0.904,0.9274999999999999,0.9274999999999999
0.916,0.902,0.909,0.909,0.9349999999999999,0.9349999999999999
0.924,0.898,0.911,0.911,0.9366666666666665,0.9366666666666665
0.921,0.901,0.911,0.911,0.9370000000000002,0.9370000000000002
0.919,0.902,0.911,0.911,0.9369999999999999,0.9369999999999999
0.923,0.897,0.91,0.91,0.9358333333333334,0.9358333333333334
0.916,0.892,0.904,0.904,0.9316666666666666,0.9316666666666666
0.925,0.891,0.907,0.907,0.9341666666666666,0.9341666666666666
0.924,0.895,0.909,0.909,0.9356666666666668,0.9356666666666668
0.923,0.899,0.911,0.911,0.9375,0.9375
0.919,0.901,0.91,0.91,0.9370000000000002,0.9370000000000002
0.924,0.896,0.91,0.91,0.9366666666666666,0.9366666666666666
0.917,0.898,0.908,0.908,0.9341666666666667,0.9341666666666667
0.917,0.899,0.908,0.908,0.9336666666666665,0.9336666666666665
0.918,0.905,0.911,0.911,0.9378333333333333,0.9378333333333333
0.919,0.905,0.912,0.912,0.9383333333333334,0.9383333333333334
0.919,0.895,0.907,0.907,0.9335,0.9335
0.918,0.901,0.909,0.909,0.9341666666666666,0.9341666666666666
0.918,0.908,0.913,0.913,0.9383333333333334,0.9383333333333334
0.919,0.9,0.909,0.909,0.9346666666666668,0.9346666666666668
0.919,0.907,0.913,0.913,0.9388333333333332,0.9388333333333332
0.918,0.902,0.91,0.91,0.9359999999999999,0.9359999999999999
0.925,0.9,0.912,0.912,0.9366666666666665,0.9366666666666665
0.915,0.902,0.908,0.908,0.9355000000000001,0.9355000000000001
0.923,0.901,0.912,0.912,0.9351666666666666,0.9351666666666666
0.915,0.901,0.908,0.908,0.9343333333333333,0.9343333333333333
0.912,0.904,0.908,0.908,0.9328333333333334,0.9328333333333334
0.926,0.899,0.912,0.912,0.9381666666666667,0.9381666666666667
0.924,0.905,0.915,0.915,0.9378333333333334,0.9378333333333334
0.92,0.909,0.914,0.914,0.9378333333333334,0.9378333333333334
0.921,0.902,0.912,0.912,0.9354999999999999,0.9354999999999999
0.924,0.912,0.918,0.918,0.943,0.943
0.919,0.907,0.913,0.913,0.9378333333333334,0.9378333333333334
0.917,0.921,0.919,0.919,0.9431666666666668,0.9431666666666668
0.919,0.912,0.915,0.915,0.9411666666666667,0.9411666666666667
0.917,0.912,0.915,0.915,0.9403333333333334,0.9403333333333334
0.916,0.923,0.919,0.919,0.9434999999999999,0.9434999999999999
0.92,0.927,0.924,0.924,0.9456666666666668,0.9456666666666668
0.92,0.93,0.925,0.925,0.9473333333333334,0.9473333333333334
0.917,0.929,0.923,0.923,0.9451666666666667,0.9451666666666667
0.918,0.927,0.922,0.922,0.9458333333333333,0.9458333333333333
0.924,0.927,0.925,0.925,0.9466666666666668,0.9466666666666668
0.929,0.925,0.927,0.927,0.9485,0.9485
0.928,0.93,0.929,0.929,0.9500000000000001,0.9500000000000001
0.923,0.929,0.926,0.926,0.947,0.947
0.924,0.925,0.925,0.925,0.9463333333333335,0.9463333333333335
0.922,0.925,0.924,0.924,0.9456666666666668,0.9456666666666668
0.922,0.924,0.923,0.923,0.9436666666666667,0.9436666666666667
0.922,0.926,0.924,0.924,0.9445,0.9445
0.924,0.928,0.926,0.926,0.947,0.947
0.915,0.931,0.923,0.923,0.9445,0.9445
0.914,0.935,0.924,0.924,0.9403333333333336,0.9403333333333336
0.926,0.93,0.928,0.928,0.9483333333333333,0.9483333333333333
0.92,0.934,0.927,0.927,0.9475000000000001,0.9475000000000001
0.92,0.937,0.928,0.928,0.9475000000000001,0.9475000000000001
0.922,0.924,0.923,0.923,0.9411666666666667,0.9411666666666667
0.922,0.932,0.927,0.927,0.9480000000000001,0.9480000000000001
0.926,0.932,0.929,0.929,0.9495,0.9495
0.922,0.935,0.929,0.929,0.9496666666666665,0.9496666666666665
0.921,0.927,0.924,0.924,0.9448333333333333,0.9448333333333333
0.914,0.932,0.923,0.923,0.9430000000000001,0.9430000000000001
0.917,0.937,0.927,0.927,0.9433333333333335,0.9433333333333335
0.924,0.934,0.929,0.929,0.9486666666666667,0.9486666666666667
0.924,0.932,0.928,0.928,0.9488333333333333,0.9488333333333333
0.922,0.934,0.928,0.928,0.9493333333333333,0.9493333333333333
0.926,0.929,0.927,0.927,0.9473333333333332,0.9473333333333332
0.923,0.921,0.922,0.922,0.9436666666666667,0.9436666666666667
0.921,0.93,0.926,0.926,0.9463333333333334,0.9463333333333334
0.927,0.93,0.929,0.929,0.9496666666666668,0.9496666666666668
0.913,0.93,0.922,0.922,0.9415,0.9415
0.923,0.931,0.927,0.927,0.9473333333333334,0.9473333333333334
0.912,0.932,0.922,0.922,0.9426666666666668,0.9426666666666668
0.917,0.932,0.925,0.925,0.9443333333333334,0.9443333333333334
0.922,0.935,0.929,0.929,0.9488333333333334,0.9488333333333334
0.918,0.935,0.926,0.926,0.9446666666666667,0.9446666666666667
