addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
48609,0.9894258264930362,0.8455528846153846,0.974,0.825,"Counter({2: 607, 3: 206, 4: 131, 5: 93, 6: 49, 7: 26, 8: 11, 9: 7, 13: 7, 10: 5, 12: 3, 19: 2, 11: 1, 22: 1, 29: 1, 30: 1, 35: 1, 15: 1, 20: 1, 18: 1, 17: 1, 1: 1})",945,212,4,0,2,2,
49674,0.9879615090389339,0.8524185587364265,0.984,0.882,"Counter({2: 648, 3: 241, 4: 172, 5: 82, 6: 39, 7: 28, 9: 2, 8: 1, 28: 1})",1061,153,1,0,0,0,
49495,0.9876957268410951,0.8481675392670157,0.982,0.864,"Counter({2: 635, 3: 249, 4: 169, 5: 85, 6: 43, 7: 24, 8: 4, 9: 3, 14: 1, 10: 1, 13: 1, 28: 1, 11: 1, 12: 1, 16: 1})",1053,166,4,0,0,0,
49730,0.9867283329981902,0.8402710551790901,0.983,0.87,"Counter({2: 651, 3: 249, 4: 168, 5: 81, 6: 37, 7: 22, 8: 3, 10: 1, 13: 1, 17: 1, 11: 1, 12: 1, 9: 1, 16: 1})",1068,150,1,0,0,0,
49058,0.9901952790574422,0.8692579505300354,0.98,0.858,"Counter({2: 625, 3: 222, 4: 160, 5: 88, 6: 47, 7: 26, 8: 10, 9: 8, 15: 3, 13: 3, 10: 2, 19: 1, 28: 1, 11: 1, 12: 1, 17: 1, 20: 1})",1007,193,3,0,0,0,
49298,0.9901618726926041,0.8719302878267758,0.984,0.882,"Counter({2: 631, 3: 224, 4: 172, 5: 90, 6: 48, 7: 33, 10: 4, 9: 4, 8: 2, 11: 2, 13: 1, 28: 1, 18: 1})",1027,186,1,0,1,0,
48938,0.9930319996730557,0.9016440726853187,0.984,0.886,"Counter({2: 604, 3: 227, 4: 151, 5: 102, 6: 56, 7: 29, 8: 7, 9: 4, 11: 3, 12: 3, 15: 2, 14: 2, 13: 2, 17: 2, 10: 1, 19: 1, 1: 1})",983,214,1,0,2,2,
48593,0.9930236865392135,0.8995555555555556,0.978,0.855,"Counter({2: 613, 3: 204, 4: 155, 5: 98, 6: 57, 7: 27, 8: 6, 13: 5, 11: 4, 10: 4, 9: 4, 12: 3, 16: 2, 19: 2, 22: 1, 18: 1, 15: 1, 29: 1, 30: 1, 21: 1, 14: 1})",972,219,3,0,2,0,
