addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
255837,0.9974905897114178,0.9691642651296829,0.995,0.947,"Counter({2: 1595, 3: 820, 4: 445, 5: 385, 6: 30, 7: 25, 9: 4, 1: 4, 10: 2, 13: 2, 8: 2, 17: 1, 27: 1, 20: 1, 16: 1, 11: 1})",3249,70,15,0,6,2,
256087,0.9976219019317654,0.9710427464219485,0.996,0.954,"Counter({2: 1595, 3: 820, 4: 441, 5: 396, 6: 29, 7: 15, 9: 4, 8: 4, 13: 2, 10: 2, 1: 2, 11: 1, 20: 1, 15: 1, 16: 1})",3254,60,12,0,6,2,
255745,0.9973684725019062,0.9676923815467332,0.995,0.943,"Counter({2: 1572, 3: 828, 4: 435, 5: 397, 6: 29, 7: 24, 8: 5, 1: 4, 9: 3, 15: 2, 14: 2, 10: 2, 19: 1, 27: 1, 13: 1, 21: 1})",3236,71,15,0,10,3,
255706,0.9975245007938804,0.9694689625235132,0.995,0.944,"Counter({2: 1591, 3: 808, 4: 439, 5: 391, 6: 31, 7: 25, 9: 7, 8: 6, 13: 4, 12: 1, 22: 1, 16: 1, 11: 1, 21: 1, 10: 1, 1: 1})",3230,79,17,0,6,1,
255728,0.9974269536382406,0.9684563758389262,0.995,0.943,"Counter({2: 1586, 3: 819, 4: 450, 5: 396, 6: 32, 7: 22, 9: 6, 8: 6, 10: 3, 1: 3, 19: 1, 15: 1, 29: 1, 13: 1, 22: 1})",3254,74,17,0,9,3,
255496,0.9970645332999343,0.963733075435203,0.994,0.934,"Counter({2: 1561, 3: 823, 4: 449, 5: 392, 6: 40, 7: 22, 8: 7, 1: 6, 10: 4, 9: 4, 15: 3, 34: 1, 13: 1, 11: 1, 16: 1, 21: 1, 12: 1})",3231,86,16,0,12,3,
255603,0.997218342507717,0.9656902958065917,0.995,0.94,"Counter({2: 1590, 3: 828, 4: 432, 5: 398, 6: 33, 7: 22, 8: 9, 9: 8, 1: 5, 13: 2, 33: 1, 10: 1, 11: 1, 12: 1, 22: 1, 16: 1, 15: 1})",3253,81,16,0,12,4,
255127,0.997173956500096,0.9647897641256044,0.993,0.925,"Counter({2: 1588, 3: 811, 4: 443, 5: 384, 6: 38, 7: 26, 8: 9, 11: 4, 10: 3, 9: 3, 13: 3, 1: 3, 17: 2, 23: 1, 36: 1, 25: 1, 18: 1, 24: 1})",3229,93,23,0,10,2,
255375,0.9971532060695056,0.9647856623879875,0.994,0.931,"Counter({2: 1575, 3: 810, 4: 441, 5: 394, 6: 28, 7: 23, 8: 11, 9: 8, 10: 4, 1: 3, 22: 2, 15: 2, 11: 2, 18: 2, 29: 1, 13: 1, 12: 1})",3223,85,25,0,11,1,
255761,0.9972396104175383,0.966051163685324,0.995,0.943,"Counter({2: 1582, 3: 807, 4: 451, 5: 393, 6: 28, 7: 23, 8: 10, 9: 6, 10: 3, 13: 2, 15: 2, 17: 1, 22: 1, 11: 1, 12: 1})",3233,78,21,0,5,0,
255703,0.9973954157753331,0.9679098005203816,0.995,0.943,"Counter({2: 1588, 3: 802, 4: 446, 5: 391, 6: 26, 7: 25, 8: 10, 13: 3, 9: 2, 11: 2, 10: 2, 19: 1, 15: 1, 20: 1, 21: 1, 14: 1, 1: 1})",3228,75,15,0,8,0,
255739,0.9973957824187941,0.9678478323838949,0.995,0.946,"Counter({2: 1605, 3: 816, 4: 447, 5: 385, 6: 31, 7: 27, 8: 11, 9: 3, 11: 2, 18: 1, 15: 1, 10: 1, 21: 1, 20: 1, 13: 1, 1: 1})",3254,80,16,0,6,0,
255718,0.9973212679592364,0.966877810550747,0.995,0.944,"Counter({2: 1590, 3: 802, 4: 452, 5: 385, 6: 34, 7: 26, 8: 6, 9: 5, 13: 3, 1: 3, 15: 2, 24: 1, 10: 1, 11: 1, 16: 1, 17: 1})",3232,81,20,0,10,0,
255583,0.9973394161583516,0.9671782990636161,0.995,0.94,"Counter({2: 1593, 3: 813, 4: 444, 5: 393, 6: 30, 7: 24, 8: 7, 9: 6, 12: 3, 1: 3, 19: 1, 16: 1, 27: 1, 15: 1, 23: 1, 13: 1, 18: 1, 10: 1, 11: 1})",3246,79,19,0,11,3,
255522,0.9972918183170137,0.9663881872935691,0.995,0.939,"Counter({2: 1578, 3: 819, 4: 439, 5: 388, 6: 33, 7: 26, 8: 10, 13: 4, 9: 3, 10: 2, 12: 2, 1: 2, 26: 1, 24: 1, 16: 1, 18: 1, 14: 1})",3226,85,19,0,5,0,
255710,0.9974932540768839,0.9691366941114161,0.995,0.944,"Counter({2: 1606, 3: 805, 4: 443, 5: 391, 6: 31, 7: 22, 9: 5, 8: 5, 11: 3, 15: 2, 24: 1, 21: 1, 10: 1, 20: 1, 13: 1, 14: 1, 1: 1})",3246,74,20,0,5,0,
256046,0.9972661162447373,0.9666507860886137,0.996,0.951,"Counter({2: 1606, 3: 829, 4: 450, 5: 393, 6: 27, 7: 22, 8: 6, 9: 4, 1: 3, 10: 2, 15: 1, 16: 1, 13: 1, 21: 1})",3281,65,19,0,10,1,
255759,0.9973568867566732,0.9672448880705493,0.995,0.947,"Counter({2: 1593, 3: 810, 4: 445, 5: 385, 6: 33, 7: 23, 8: 12, 13: 3, 9: 3, 11: 3, 10: 1, 20: 1, 21: 1, 14: 1, 1: 1})",3234,81,22,0,6,0,
255867,0.9974596176920041,0.9687349687349688,0.996,0.95,"Counter({2: 1590, 3: 817, 4: 444, 5: 391, 6: 28, 7: 25, 9: 7, 8: 5, 13: 3, 1: 3, 19: 2, 15: 2, 10: 1, 11: 1, 16: 1})",3245,75,16,0,10,1,
256091,0.9973954570836148,0.96832708105798,0.996,0.953,"Counter({2: 1602, 3: 815, 4: 446, 5: 403, 6: 21, 7: 21, 11: 4, 8: 4, 10: 2, 9: 2, 18: 1, 15: 1, 13: 1, 20: 1, 1: 1})",3267,58,13,0,7,0,
256084,0.9974500554505553,0.9690653275853902,0.996,0.953,"Counter({2: 1601, 3: 827, 4: 444, 5: 404, 6: 22, 7: 20, 9: 3, 8: 3, 1: 3, 11: 2, 13: 2, 31: 1, 15: 1, 22: 1, 14: 1})",3279,56,21,0,9,1,
