addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
254017,0.9939334768932788,0.9226754980179639,0.985,0.838,"Counter({2: 1357, 3: 718, 4: 419, 5: 373, 7: 20, 6: 20, 8: 12, 9: 8, 10: 4, 16: 2, 11: 2, 13: 2, 35: 1, 27: 1, 14: 1, 17: 1, 51: 1, 95: 1, 20: 1, 12: 1, 1: 1})",2868,78,12,0,1,0,
254630,0.9946824804618466,0.9332017760236803,0.987,0.863,"Counter({2: 1391, 3: 742, 4: 434, 5: 372, 6: 19, 7: 18, 8: 10, 9: 7, 10: 4, 12: 2, 11: 2, 35: 1, 27: 1, 49: 1, 85: 1})",2939,66,15,0,0,0,
256505,0.9939377400050682,0.9249843214819817,0.992,0.91,"Counter({2: 1385, 3: 751, 4: 429, 5: 374, 7: 12, 6: 11, 23: 2, 8: 2, 10: 1, 11: 1, 9: 1})",2939,30,5,0,0,0,
256270,0.9954071877316892,0.9434324986783293,0.994,0.927,"Counter({2: 1430, 3: 798, 4: 434, 5: 381, 7: 16, 6: 14, 8: 7, 9: 5, 10: 2, 18: 2, 15: 1, 11: 1})",3043,48,4,0,0,0,
255131,0.9953043730475717,0.9409968479117415,0.991,0.897,"Counter({2: 1452, 3: 763, 4: 425, 5: 394, 6: 34, 7: 19, 8: 11, 9: 8, 10: 2, 17: 2, 36: 1, 14: 1, 31: 1, 12: 1, 37: 1, 30: 1, 16: 1, 18: 1, 19: 1})",3034,85,9,0,0,0,
255959,0.9954484897971941,0.9438364749554067,0.993,0.915,"Counter({2: 1515, 3: 788, 4: 433, 5: 371, 6: 17, 7: 11, 8: 9, 10: 3, 16: 2, 9: 2, 36: 1, 28: 1, 11: 1})",3107,47,9,0,0,0,
255130,0.9954964135930702,0.9433292231812578,0.991,0.902,"Counter({2: 1504, 3: 771, 4: 422, 5: 395, 6: 35, 7: 27, 8: 8, 9: 7, 10: 4, 13: 3, 14: 2, 17: 2, 41: 1, 31: 1, 11: 1, 1: 1, 38: 1, 18: 1, 12: 1})",3093,94,9,0,1,0,
255236,0.9955335454246266,0.9438312968072526,0.992,0.906,"Counter({2: 1506, 3: 766, 4: 429, 5: 392, 6: 38, 7: 21, 8: 13, 10: 8, 9: 5, 15: 2, 12: 2, 21: 2, 36: 1, 40: 1})",3093,93,10,0,0,0,
