addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
250540,0.9946196216173067,0.9282444373469605,0.976,0.772,"Counter({2: 1283, 3: 706, 4: 420, 5: 385, 6: 56, 7: 42, 8: 18, 10: 14, 11: 11, 13: 9, 9: 7, 12: 7, 16: 3, 21: 2, 19: 2, 25: 2, 20: 1, 39: 1, 33: 1, 43: 1, 23: 1, 74: 1, 111: 1, 40: 1, 22: 1, 15: 1, 14: 1, 17: 1, 1: 1})",2795,185,10,0,2,0,
250668,0.9943351365152313,0.9240966431473168,0.976,0.771,"Counter({2: 1285, 3: 704, 4: 419, 5: 376, 6: 55, 7: 41, 8: 19, 11: 11, 9: 10, 13: 10, 10: 10, 12: 7, 19: 3, 15: 3, 24: 2, 20: 1, 16: 1, 39: 1, 32: 1, 44: 1, 21: 1, 23: 1, 70: 1, 111: 1, 40: 1, 22: 1, 17: 1, 1: 1})",2785,183,11,0,3,0,
250474,0.9942788473055088,0.9227784663469311,0.976,0.768,"Counter({2: 1283, 3: 699, 4: 405, 5: 382, 6: 54, 7: 45, 8: 21, 10: 14, 9: 11, 11: 10, 13: 10, 12: 6, 15: 4, 19: 3, 20: 2, 16: 2, 24: 2, 39: 1, 35: 1, 36: 1, 21: 1, 23: 1, 71: 1, 111: 1, 40: 1, 22: 1, 17: 1, 1: 1})",2770,194,11,0,3,0,
250266,0.994757577937075,0.9292493528904227,0.975,0.77,"Counter({2: 1315, 3: 711, 4: 422, 5: 369, 6: 57, 7: 45, 8: 21, 10: 14, 9: 12, 11: 11, 13: 10, 15: 6, 12: 4, 20: 2, 16: 2, 21: 2, 19: 2, 39: 1, 35: 1, 37: 1, 17: 1, 23: 1, 73: 1, 111: 1, 40: 1, 22: 1, 24: 1, 18: 1, 25: 1, 1: 1})",2818,200,17,0,6,0,
250334,0.9947470179839734,0.9294111331794513,0.976,0.771,"Counter({2: 1329, 3: 711, 4: 415, 5: 378, 6: 55, 7: 46, 8: 20, 9: 13, 10: 13, 11: 10, 13: 10, 15: 6, 12: 4, 20: 2, 16: 2, 21: 2, 19: 2, 39: 1, 35: 1, 37: 1, 17: 1, 23: 1, 74: 1, 111: 1, 40: 1, 22: 1, 24: 1, 18: 1, 25: 1, 1: 1})",2834,197,13,0,6,0,
