addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
255834,0.99375376220518,0.9200680272108844,0.991,0.898,"Counter({2: 1361, 3: 697, 4: 414, 5: 376, 6: 29, 7: 21, 8: 12, 10: 6, 9: 4, 18: 1, 25: 1, 56: 1})",2848,75,5,0,0,0,
255443,0.9938303261392952,0.9205645161290322,0.99,0.891,"Counter({2: 1340, 3: 706, 4: 417, 5: 382, 6: 35, 7: 23, 8: 14, 10: 9, 9: 7, 18: 1, 21: 1, 11: 1, 33: 1, 15: 1, 56: 1})",2845,94,6,0,0,0,
255459,0.9939481482351376,0.9223817652374736,0.991,0.893,"Counter({2: 1358, 3: 707, 4: 415, 5: 388, 6: 33, 7: 23, 8: 13, 10: 8, 9: 7, 14: 2, 11: 2, 21: 1, 15: 1, 57: 1, 24: 1})",2868,92,9,0,0,0,
255405,0.9939037998473014,0.921636720519402,0.99,0.892,"Counter({2: 1361, 3: 710, 4: 418, 5: 385, 6: 28, 7: 28, 8: 15, 10: 10, 9: 6, 11: 1, 18: 1, 21: 1, 15: 1, 57: 1, 30: 1})",2874,93,4,0,0,0,
255704,0.9944623470888214,0.9295031365129941,0.992,0.905,"Counter({2: 1374, 3: 718, 4: 419, 5: 385, 6: 36, 7: 22, 8: 8, 10: 7, 9: 6, 11: 2, 53: 1, 24: 1, 14: 1})",2896,84,8,0,0,0,
255451,0.9943120207006432,0.9271350483927587,0.991,0.897,"Counter({2: 1370, 3: 697, 4: 423, 5: 388, 6: 36, 7: 22, 8: 13, 9: 7, 10: 6, 14: 3, 11: 2, 12: 1, 56: 1, 27: 1})",2878,92,8,0,0,0,
254952,0.9951010386268788,0.9374405209115952,0.99,0.893,"Counter({2: 1353, 3: 716, 4: 435, 5: 393, 6: 36, 7: 32, 8: 13, 9: 8, 10: 7, 11: 2, 14: 2, 39: 1, 12: 1, 58: 1, 32: 1, 13: 1, 16: 1})",2897,106,14,0,0,0,
255043,0.9948165603447262,0.933734335839599,0.99,0.893,"Counter({2: 1345, 3: 718, 4: 428, 5: 396, 6: 36, 7: 32, 8: 9, 9: 8, 10: 7, 11: 2, 14: 2, 18: 1, 38: 1, 59: 1, 28: 1, 12: 1})",2887,101,12,0,0,0,
