P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.774,0.75,0.762,0.762,0.7595,0.7595
0.915,0.667,0.771,0.771,0.7585,0.7585
0.969,0.533,0.688,0.688,0.6573,0.6573
0.864,0.769,0.814,0.814,0.8115,0.8115
0.877,0.767,0.818,0.818,0.8144,0.8144
0.946,0.671,0.785,0.785,0.7619999999999999,0.7619999999999999
0.725,0.807,0.764,0.764,0.7622,0.7622
0.561,0.857,0.678,0.678,0.6793,0.6793
0.84,0.803,0.821,0.821,0.8181999999999998,0.8181999999999998
0.82,0.809,0.814,0.814,0.8122,0.8122
0.818,0.822,0.82,0.82,0.8187999999999999,0.8187999999999999
0.898,0.797,0.844,0.844,0.8418000000000001,0.8418000000000001
0.889,0.792,0.838,0.838,0.8331,0.8331
0.905,0.789,0.843,0.843,0.8382,0.8382
0.894,0.797,0.843,0.843,0.8396000000000001,0.8396000000000001
0.911,0.75,0.823,0.823,0.8055999999999999,0.8055999999999999
0.916,0.776,0.84,0.84,0.8300000000000001,0.8300000000000001
0.924,0.767,0.838,0.838,0.8281000000000001,0.8281000000000001
0.944,0.756,0.839,0.839,0.8284,0.8284
0.982,0.722,0.832,0.832,0.8209,0.8209
0.944,0.767,0.846,0.846,0.8443999999999999,0.8443999999999999
0.874,0.799,0.834,0.834,0.8339000000000001,0.8339000000000001
0.911,0.827,0.867,0.867,0.8698,0.8698
0.886,0.858,0.872,0.872,0.8798,0.8798
0.895,0.86,0.877,0.877,0.8843,0.8843
0.947,0.828,0.884,0.884,0.8863,0.8863
0.947,0.827,0.883,0.883,0.8856999999999999,0.8856999999999999
0.948,0.829,0.885,0.885,0.8879999999999999,0.8879999999999999
0.954,0.841,0.894,0.894,0.8974,0.8974
0.98,0.802,0.882,0.882,0.8815,0.8815
0.969,0.823,0.89,0.89,0.8904,0.8904
0.952,0.854,0.901,0.901,0.9029999999999999,0.9029999999999999
0.946,0.813,0.875,0.875,0.8737999999999999,0.8737999999999999
0.972,0.85,0.907,0.907,0.9097999999999999,0.9097999999999999
0.972,0.843,0.903,0.903,0.9055,0.9055
0.966,0.845,0.901,0.901,0.9051,0.9051
0.94,0.869,0.903,0.903,0.9135,0.9135
0.935,0.845,0.888,0.888,0.8966,0.8966
0.968,0.845,0.902,0.902,0.9059999999999999,0.9059999999999999
0.944,0.857,0.898,0.898,0.8983000000000001,0.8983000000000001
0.963,0.861,0.909,0.909,0.9125,0.9125
0.969,0.883,0.924,0.924,0.9272,0.9272
0.937,0.874,0.905,0.905,0.9125,0.9125
0.962,0.885,0.922,0.922,0.9269999999999999,0.9269999999999999
0.954,0.893,0.922,0.922,0.9265000000000001,0.9265000000000001
0.935,0.879,0.906,0.906,0.9109,0.9109
0.951,0.865,0.906,0.906,0.9100000000000001,0.9100000000000001
0.914,0.872,0.892,0.892,0.9033999999999999,0.9033999999999999
0.935,0.883,0.908,0.908,0.9152000000000001,0.9152000000000001
0.946,0.881,0.912,0.912,0.917,0.917
0.954,0.864,0.907,0.907,0.9108999999999998,0.9108999999999998
0.915,0.869,0.892,0.892,0.9025000000000001,0.9025000000000001
0.95,0.884,0.916,0.916,0.9188000000000001,0.9188000000000001
0.971,0.873,0.92,0.92,0.9209999999999999,0.9209999999999999
0.957,0.891,0.923,0.923,0.9281,0.9281
0.967,0.905,0.935,0.935,0.9389,0.9389
0.947,0.913,0.93,0.93,0.9362999999999999,0.9362999999999999
0.937,0.92,0.929,0.929,0.9359999999999999,0.9359999999999999
0.962,0.908,0.934,0.934,0.9378,0.9378
0.95,0.914,0.932,0.932,0.9365,0.9365
0.94,0.921,0.93,0.93,0.9357999999999999,0.9357999999999999
0.951,0.92,0.935,0.935,0.9389,0.9389
0.961,0.913,0.936,0.936,0.9388,0.9388
0.97,0.906,0.937,0.937,0.9399999999999998,0.9399999999999998
0.963,0.906,0.934,0.934,0.9383000000000001,0.9383000000000001
0.954,0.898,0.925,0.925,0.9281,0.9281
0.966,0.912,0.938,0.938,0.9420999999999999,0.9420999999999999
0.962,0.912,0.936,0.936,0.9390999999999998,0.9390999999999998
0.964,0.907,0.935,0.935,0.9371,0.9371
0.963,0.915,0.938,0.938,0.9404,0.9404
0.965,0.92,0.942,0.942,0.9444000000000001,0.9444000000000001
0.975,0.907,0.94,0.94,0.9426,0.9426
0.977,0.911,0.943,0.943,0.9460000000000001,0.9460000000000001
0.967,0.904,0.934,0.934,0.9371,0.9371
0.962,0.908,0.934,0.934,0.9372,0.9372
0.969,0.911,0.939,0.939,0.9419000000000001,0.9419000000000001
0.965,0.911,0.937,0.937,0.9401999999999999,0.9401999999999999
0.973,0.906,0.938,0.938,0.9416,0.9416
0.979,0.906,0.941,0.941,0.9440999999999999,0.9440999999999999
0.976,0.906,0.94,0.94,0.9427,0.9427
0.969,0.916,0.942,0.942,0.9456,0.9456
0.954,0.926,0.94,0.94,0.9424000000000001,0.9424000000000001
0.956,0.91,0.933,0.933,0.9347999999999999,0.9347999999999999
0.938,0.927,0.932,0.932,0.9345000000000001,0.9345000000000001
0.921,0.919,0.92,0.92,0.9235999999999999,0.9235999999999999
0.939,0.919,0.929,0.929,0.9320999999999999,0.9320999999999999
0.937,0.923,0.93,0.93,0.9322999999999999,0.9322999999999999
0.95,0.92,0.935,0.935,0.9366,0.9366
0.936,0.923,0.929,0.929,0.9308,0.9308
0.948,0.919,0.934,0.934,0.9361,0.9361
0.93,0.923,0.927,0.927,0.9288000000000001,0.9288000000000001
0.936,0.92,0.928,0.928,0.9302999999999999,0.9302999999999999
0.946,0.91,0.927,0.927,0.9296,0.9296
0.937,0.913,0.925,0.925,0.9263999999999999,0.9263999999999999
0.929,0.909,0.919,0.919,0.9206,0.9206
0.942,0.918,0.93,0.93,0.9315999999999999,0.9315999999999999
0.933,0.913,0.923,0.923,0.9236000000000001,0.9236000000000001
0.934,0.914,0.924,0.924,0.9262999999999998,0.9262999999999998
0.912,0.913,0.913,0.913,0.9151,0.9151
0.961,0.908,0.934,0.934,0.9369000000000002,0.9369000000000002
0.952,0.915,0.933,0.933,0.9353,0.9353
0.959,0.917,0.937,0.937,0.9400000000000001,0.9400000000000001
0.941,0.914,0.927,0.927,0.9289999999999999,0.9289999999999999
0.949,0.916,0.932,0.932,0.9345000000000001,0.9345000000000001
0.945,0.917,0.931,0.931,0.9328,0.9328
0.934,0.91,0.922,0.922,0.924,0.924
0.937,0.913,0.925,0.925,0.9262999999999998,0.9262999999999998
0.963,0.909,0.935,0.935,0.9376,0.9376
0.956,0.907,0.931,0.931,0.9327,0.9327
0.964,0.92,0.942,0.942,0.9441,0.9441
0.963,0.92,0.941,0.941,0.9441,0.9441
0.968,0.914,0.94,0.94,0.9427000000000001,0.9427000000000001
0.969,0.915,0.941,0.941,0.9441999999999998,0.9441999999999998
0.963,0.915,0.939,0.939,0.9419000000000001,0.9419000000000001
0.962,0.912,0.936,0.936,0.9395999999999999,0.9395999999999999
0.953,0.92,0.936,0.936,0.9384,0.9384
0.964,0.92,0.942,0.942,0.9445,0.9445
0.963,0.923,0.942,0.942,0.9447999999999999,0.9447999999999999
0.958,0.919,0.938,0.938,0.9400000000000001,0.9400000000000001
0.955,0.916,0.935,0.935,0.9373999999999999,0.9373999999999999
0.953,0.918,0.935,0.935,0.9375,0.9375
0.957,0.917,0.936,0.936,0.9385,0.9385
0.964,0.912,0.937,0.937,0.9397,0.9397
0.971,0.914,0.942,0.942,0.944,0.944
0.975,0.917,0.945,0.945,0.9479000000000001,0.9479000000000001
0.971,0.921,0.945,0.945,0.9480000000000001,0.9480000000000001
0.972,0.914,0.942,0.942,0.9455,0.9455
0.972,0.916,0.943,0.943,0.9457000000000001,0.9457000000000001
0.971,0.92,0.945,0.945,0.9475000000000001,0.9475000000000001
0.972,0.917,0.944,0.944,0.9473,0.9473
0.97,0.914,0.941,0.941,0.9436,0.9436
0.967,0.918,0.942,0.942,0.9440999999999999,0.9440999999999999
0.97,0.918,0.943,0.943,0.9464,0.9464
0.958,0.924,0.941,0.941,0.9426,0.9426
0.968,0.923,0.945,0.945,0.9475999999999999,0.9475999999999999
0.969,0.923,0.945,0.945,0.9482000000000002,0.9482000000000002
0.966,0.923,0.944,0.944,0.9465999999999999,0.9465999999999999
0.974,0.926,0.95,0.95,0.9523999999999999,0.9523999999999999
0.973,0.917,0.944,0.944,0.9473,0.9473
0.972,0.93,0.951,0.951,0.9534999999999998,0.9534999999999998
0.973,0.921,0.946,0.946,0.9495999999999999,0.9495999999999999
0.969,0.923,0.946,0.946,0.9483,0.9483
0.971,0.925,0.947,0.947,0.9505000000000001,0.9505000000000001
0.965,0.926,0.945,0.945,0.9484999999999999,0.9484999999999999
0.971,0.925,0.947,0.947,0.9504000000000001,0.9504000000000001
0.973,0.928,0.95,0.95,0.953,0.953
0.969,0.926,0.947,0.947,0.9501999999999999,0.9501999999999999
0.97,0.925,0.947,0.947,0.9496999999999998,0.9496999999999998
0.97,0.927,0.948,0.948,0.9511000000000001,0.9511000000000001
0.964,0.928,0.946,0.946,0.9492,0.9492
0.965,0.928,0.946,0.946,0.9497,0.9497
0.965,0.932,0.948,0.948,0.9512,0.9512
0.964,0.928,0.945,0.945,0.9487,0.9487
0.966,0.927,0.946,0.946,0.9495000000000001,0.9495000000000001
0.965,0.926,0.945,0.945,0.9483999999999998,0.9483999999999998
0.966,0.925,0.945,0.945,0.9483999999999998,0.9483999999999998
0.969,0.924,0.946,0.946,0.9488,0.9488
0.971,0.919,0.944,0.944,0.9467000000000001,0.9467000000000001
0.972,0.921,0.946,0.946,0.9487,0.9487
0.968,0.924,0.945,0.945,0.9479999999999998,0.9479999999999998
0.97,0.92,0.944,0.944,0.9471999999999999,0.9471999999999999
0.971,0.921,0.945,0.945,0.9480999999999998,0.9480999999999998
0.967,0.925,0.946,0.946,0.9483,0.9483
0.968,0.924,0.945,0.945,0.9477,0.9477
0.969,0.921,0.945,0.945,0.9475,0.9475
0.968,0.927,0.947,0.947,0.9496,0.9496
0.97,0.923,0.945,0.945,0.9480000000000001,0.9480000000000001
0.969,0.923,0.945,0.945,0.9484,0.9484
0.966,0.926,0.946,0.946,0.9485999999999999,0.9485999999999999
0.968,0.92,0.944,0.944,0.946,0.946
0.971,0.919,0.944,0.944,0.9467000000000001,0.9467000000000001
0.97,0.924,0.947,0.947,0.9497,0.9497
0.974,0.918,0.945,0.945,0.9475999999999998,0.9475999999999998
0.97,0.92,0.945,0.945,0.9472999999999999,0.9472999999999999
0.972,0.923,0.947,0.947,0.9494,0.9494
0.973,0.92,0.946,0.946,0.9484,0.9484
0.967,0.923,0.944,0.944,0.9475,0.9475
0.968,0.924,0.946,0.946,0.9488999999999999,0.9488999999999999
0.966,0.925,0.945,0.945,0.9477,0.9477
0.968,0.922,0.944,0.944,0.9469999999999998,0.9469999999999998
0.972,0.924,0.947,0.947,0.9495999999999999,0.9495999999999999
0.969,0.924,0.946,0.946,0.9485999999999999,0.9485999999999999
0.97,0.926,0.947,0.947,0.9502999999999998,0.9502999999999998
0.971,0.921,0.945,0.945,0.9475,0.9475
0.973,0.926,0.949,0.949,0.9516,0.9516
0.972,0.922,0.946,0.946,0.9490000000000001,0.9490000000000001
0.971,0.925,0.947,0.947,0.9501,0.9501
0.969,0.924,0.946,0.946,0.9484,0.9484
0.972,0.925,0.948,0.948,0.9501,0.9501
0.969,0.924,0.946,0.946,0.9490999999999999,0.9490999999999999
0.97,0.927,0.948,0.948,0.9504999999999999,0.9504999999999999
0.971,0.923,0.946,0.946,0.9494,0.9494
0.973,0.924,0.948,0.948,0.9507,0.9507
0.975,0.921,0.947,0.947,0.9498,0.9498
0.977,0.921,0.948,0.948,0.9508000000000001,0.9508000000000001
0.973,0.921,0.946,0.946,0.9486000000000001,0.9486000000000001
0.969,0.92,0.944,0.944,0.9465999999999999,0.9465999999999999
0.971,0.927,0.949,0.949,0.951,0.951
0.974,0.922,0.947,0.947,0.9499999999999998,0.9499999999999998
0.972,0.923,0.947,0.947,0.9491999999999999,0.9491999999999999
