P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std,F1_model_micro_mult_lab,F1_model_micro_mult_lab_std,F1_model_micro_mult_boost,F1_model_micro_mult_boost_std,F1_model_micro_mult_transfer_boost,F1_model_micro_mult_transfer_boost_std,F1_model_macro_mult_lab,F1_model_macro_mult_lab_std,F1_model_macro_mult_boost,F1_model_macro_mult_boost_std,F1_model_macro_mult_transfer_boost,F1_model_macro_mult_transfer_boost_std
0.941,0.0,0.913,0.0,0.927,0.0,0.94,0.0,0.9307999999999998,0.0,0.9429000000000001,0.0,0.4763568854428306,0.0,0.9451107948770076,0.0,,,0.7739,0.0,0.9477,0.0,,
0.912,0.0,0.914,0.0,0.913,0.0,0.941,0.0,0.9214,0.0,0.9446,0.0,0.42031123590158465,0.0,0.9446087932265634,0.0,,,0.7482,0.0,0.9479999999999998,0.0,,
0.933,0.0,0.913,0.0,0.923,0.0,0.932,0.0,0.9302999999999999,0.0,0.9373999999999999,0.0,0.438705165351184,0.0,0.9422684618523051,0.0,,,0.7531,0.0,0.9465,0.0,,
0.901,0.0,0.912,0.0,0.907,0.0,0.942,0.0,0.9176,0.0,0.9455,0.0,0.4384661714515158,0.0,0.9446668719843958,0.0,,,0.7573,0.0,0.9482999999999999,0.0,,
0.915,0.0,0.923,0.0,0.919,0.0,0.922,0.0,0.9266,0.0,0.9299,0.0,0.43951855566700093,0.0,0.9317998385794997,0.0,,,0.7585,0.0,0.9374,0.0,,
0.935,0.0,0.914,0.0,0.924,0.0,0.939,0.0,0.9264999999999999,0.0,0.9437,0.0,0.4382090151591206,0.0,0.9455248956318093,0.0,,,0.757,0.0,0.9488,0.0,,
0.932,0.0,0.915,0.0,0.923,0.0,0.935,0.0,0.9284000000000001,0.0,0.9372,0.0,0.3990340805540369,0.0,0.9390966687104025,0.0,,,0.7474999999999999,0.0,0.9414999999999999,0.0,,
0.916,0.0,0.916,0.0,0.916,0.0,0.934,0.0,0.923,0.0,0.9378,0.0,0.42069493634536237,0.0,0.9389833961495365,0.0,,,0.7524,0.0,0.9422,0.0,,
0.89,0.0,0.919,0.0,0.905,0.0,0.93,0.0,0.9174000000000001,0.0,0.9336,0.0,0.4201118386464656,0.0,0.9383722114698991,0.0,,,0.7495999999999999,0.0,0.942,0.0,,
0.905,0.0,0.923,0.0,0.914,0.0,0.926,0.0,0.9212999999999999,0.0,0.9334,0.0,0.452374813057604,0.0,0.9390231570431792,0.0,,,0.7605,0.0,0.9430999999999999,0.0,,
0.9,0.0,0.918,0.0,0.909,0.0,0.928,0.0,0.9189,0.0,0.9312999999999999,0.0,0.45157028153267603,0.0,0.9322990126939351,0.0,,,0.7512,0.0,0.9353,0.0,,
0.923,0.0,0.926,0.0,0.924,0.0,0.927,0.0,0.932,0.0,0.9334999999999999,0.0,0.4527859834980136,0.0,0.9396928709447778,0.0,,,0.7543,0.0,0.9427999999999999,0.0,,
0.908,0.0,0.914,0.0,0.911,0.0,0.941,0.0,0.9208000000000001,0.0,0.946,0.0,0.4526916802610115,0.0,0.9485527257850056,0.0,,,0.7545999999999999,0.0,0.9519,0.0,,
0.909,0.0,0.914,0.0,0.912,0.0,0.919,0.0,0.9170999999999999,0.0,0.9244999999999999,0.0,0.4889748549323018,0.0,0.9341547162189456,0.0,,,0.7842,0.0,0.9371999999999998,0.0,,
0.927,0.0,0.909,0.0,0.918,0.0,0.921,0.0,0.9219999999999999,0.0,0.925,0.0,0.489841111664729,0.0,0.9284639309722084,0.0,,,0.788,0.0,0.9310999999999998,0.0,,
0.935,0.0,0.924,0.0,0.929,0.0,0.933,0.0,0.9357000000000001,0.0,0.9353,0.0,0.49556827106473694,0.0,0.9357070193285859,0.0,,,0.8069000000000001,0.0,0.9382999999999999,0.0,,
0.931,0.0,0.916,0.0,0.923,0.0,0.938,0.0,0.9308,0.0,0.9418,0.0,0.4856422621657168,0.0,0.9409257003654081,0.0,,,0.7953,0.0,0.9444000000000001,0.0,,
0.937,0.0,0.918,0.0,0.927,0.0,0.935,0.0,0.9338999999999998,0.0,0.9397,0.0,0.48512084178221077,0.0,0.9420453379833831,0.0,,,0.7941,0.0,0.9462999999999999,0.0,,
0.955,0.0,0.914,0.0,0.934,0.0,0.943,0.0,0.9379000000000002,0.0,0.9463999999999999,0.0,0.49140625,0.0,0.943952802359882,0.0,,,0.8013,0.0,0.9471999999999999,0.0,,
0.941,0.0,0.912,0.0,0.926,0.0,0.941,0.0,0.9332,0.0,0.9442999999999999,0.0,0.491589617912443,0.0,0.9472387600082119,0.0,,,0.7998000000000001,0.0,0.9498999999999999,0.0,,
0.931,0.0,0.913,0.0,0.922,0.0,0.934,0.0,0.9268999999999998,0.0,0.9410000000000001,0.0,0.4929956292726662,0.0,0.9400656814449918,0.0,,,0.8020000000000002,0.0,0.9452,0.0,,
0.939,0.0,0.911,0.0,0.925,0.0,0.931,0.0,0.9311,0.0,0.9344000000000001,0.0,0.4929640887087696,0.0,0.9355395391330829,0.0,,,0.8026000000000002,0.0,0.9394,0.0,,
0.929,0.0,0.91,0.0,0.919,0.0,0.936,0.0,0.9241999999999999,0.0,0.9392999999999999,0.0,0.4913262451035255,0.0,0.9391143911439115,0.0,,,0.7947,0.0,0.9428000000000001,0.0,,
0.929,0.0,0.909,0.0,0.919,0.0,0.928,0.0,0.9228999999999999,0.0,0.9326000000000001,0.0,0.4938146648672964,0.0,0.9328701338510268,0.0,,,0.7984000000000001,0.0,0.9376,0.0,,
0.957,0.0,0.907,0.0,0.931,0.0,0.936,0.0,0.9357,0.0,0.9387000000000001,0.0,0.4930857368629001,0.0,0.9384662639500359,0.0,,,0.8002,0.0,0.9415999999999999,0.0,,
0.963,0.0,0.901,0.0,0.931,0.0,0.941,0.0,0.9335000000000001,0.0,0.9449,0.0,0.49530743416187933,0.0,0.9447090494926486,0.0,,,0.8047000000000001,0.0,0.9484999999999999,0.0,,
0.947,0.0,0.914,0.0,0.93,0.0,0.942,0.0,0.9339000000000001,0.0,0.9446999999999999,0.0,0.49619101762364975,0.0,0.9442548350398179,0.0,,,0.8057000000000001,0.0,0.9467000000000001,0.0,,
0.963,0.0,0.912,0.0,0.936,0.0,0.935,0.0,0.9398000000000002,0.0,0.9376,0.0,0.4957362137578169,0.0,0.9387129724208375,0.0,,,0.8046000000000001,0.0,0.9411999999999999,0.0,,
0.948,0.0,0.908,0.0,0.927,0.0,0.947,0.0,0.9315,0.0,0.9500000000000002,0.0,0.4918330308529946,0.0,0.9506172839506173,0.0,,,0.7958000000000001,0.0,0.9539,0.0,,
0.967,0.0,0.9,0.0,0.933,0.0,0.937,0.0,0.9364999999999999,0.0,0.9394,0.0,0.4916543658453502,0.0,0.9389594428512905,0.0,,,0.7964,0.0,0.9414999999999999,0.0,,
0.939,0.0,0.897,0.0,0.918,0.0,0.942,0.0,0.9221999999999999,0.0,0.9449,0.0,0.43705535092587916,0.0,0.9464322647362978,0.0,,,0.7937000000000001,0.0,0.9498999999999999,0.0,,
0.945,0.0,0.909,0.0,0.927,0.0,0.934,0.0,0.9303000000000001,0.0,0.9371,0.0,0.4358819381484839,0.0,0.9379662749105774,0.0,,,0.7914000000000001,0.0,0.9411000000000002,0.0,,
0.956,0.0,0.911,0.0,0.933,0.0,0.936,0.0,0.9360000000000002,0.0,0.9386999999999999,0.0,0.4221544715447154,0.0,0.9379338505512453,0.0,,,0.772,0.0,0.9396999999999999,0.0,,
0.965,0.0,0.898,0.0,0.93,0.0,0.942,0.0,0.9328,0.0,0.9454,0.0,0.4109616145627226,0.0,0.9449531844840005,0.0,,,0.7715000000000001,0.0,0.9484,0.0,,
