addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
254771,0.9958982772764561,0.9487770207342778,0.99,0.889,"Counter({2: 1514, 3: 791, 4: 440, 5: 374, 6: 31, 7: 19, 8: 13, 9: 6, 10: 3, 55: 1, 36: 1, 49: 1, 40: 1, 12: 1, 20: 1, 11: 1, 13: 1, 1: 1})",3120,80,16,1,5,3
255071,0.9961461710660954,0.9526652862714885,0.991,0.901,"Counter({2: 1528, 3: 783, 4: 459, 5: 400, 6: 30, 7: 17, 8: 11, 9: 5, 10: 4, 17: 1, 25: 1, 46: 1, 11: 1, 41: 1, 35: 1, 38: 1})",3170,74,24,0,6,0
254582,0.995525999481503,0.9434318351129874,0.989,0.882,"Counter({2: 1500, 3: 789, 4: 449, 5: 361, 6: 42, 7: 26, 8: 8, 9: 5, 11: 4, 10: 3, 32: 1, 55: 1, 49: 1, 41: 1, 25: 1, 12: 1, 13: 1, 1: 1})",3100,95,21,0,4,3
253868,0.994891045740306,0.9331064005363866,0.988,0.867,"Counter({2: 1485, 3: 783, 4: 432, 5: 357, 6: 61, 7: 33, 8: 20, 9: 9, 10: 9, 13: 3, 12: 3, 15: 2, 11: 2, 32: 1, 49: 1, 26: 1, 50: 1, 48: 1, 19: 1, 1: 1})",3058,148,53,0,4,3
254508,0.9954893362880538,0.9426573426573426,0.989,0.884,"Counter({2: 1538, 3: 786, 4: 430, 5: 373, 6: 42, 7: 24, 8: 17, 9: 10, 10: 2, 12: 2, 11: 2, 1: 2, 32: 1, 54: 1, 49: 1, 47: 1, 13: 1})",3129,104,27,0,5,3
253728,0.9954715285660235,0.9386512894441774,0.989,0.883,"Counter({2: 1429, 3: 773, 4: 403, 5: 358, 6: 69, 7: 37, 8: 25, 9: 16, 11: 9, 12: 5, 10: 5, 15: 3, 13: 2, 18: 2, 17: 2, 34: 1, 36: 1, 19: 1, 35: 1, 29: 1, 28: 1, 14: 1, 23: 1, 43: 1})",2963,184,76,0,4,0
254596,0.9952630834734245,0.9391646489104116,0.99,0.888,"Counter({2: 1498, 3: 775, 4: 449, 5: 361, 6: 52, 7: 30, 8: 15, 9: 10, 11: 4, 10: 3, 12: 3, 26: 1, 42: 1, 38: 1, 49: 1, 15: 1, 1: 1})",3084,122,34,0,5,0
255768,0.99617622220137,0.9529173887926055,0.993,0.925,"Counter({2: 1561, 3: 801, 4: 450, 5: 382, 6: 32, 7: 19, 8: 9, 10: 4, 12: 3, 9: 2, 16: 1, 34: 1, 14: 1, 15: 1})",3194,73,21,0,0,0
255421,0.9954897991942714,0.9438158408115489,0.992,0.907,"Counter({2: 1540, 3: 797, 4: 446, 5: 374, 6: 25, 7: 23, 8: 13, 10: 5, 9: 2, 21: 1, 25: 1, 14: 1, 33: 1, 55: 1, 18: 1})",3157,74,16,0,0,0
256071,0.9962432294168414,0.9541511771995043,0.994,0.931,"Counter({2: 1534, 3: 800, 4: 454, 5: 385, 6: 24, 7: 14, 8: 11, 12: 1, 21: 1, 31: 1, 11: 1, 14: 1, 9: 1, 1: 1})",3174,55,20,0,1,0
255344,0.9955863462622971,0.9451874908807937,0.991,0.901,"Counter({2: 1531, 3: 800, 4: 445, 5: 367, 6: 30, 7: 21, 8: 6, 12: 2, 11: 2, 9: 2, 14: 1, 27: 1, 28: 1, 43: 1, 34: 1, 10: 1, 1: 1})",3144,69,16,0,6,0
