addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
251536,0.9910390560396921,0.8742889012827663,0.976,0.755,"Counter({2: 1265, 3: 622, 4: 379, 5: 328, 6: 62, 7: 25, 8: 20, 10: 14, 12: 9, 9: 8, 11: 7, 14: 6, 13: 4, 16: 2, 15: 1, 42: 1, 39: 1, 36: 1, 24: 1, 69: 1, 98: 1, 23: 1, 51: 1, 22: 1, 17: 1, 20: 1, 1: 1})",2595,169,15,1,1,0
245171,0.9906881319568791,0.8265329382265786,0.961,0.66,"Counter({2: 1051, 3: 485, 4: 308, 5: 232, 6: 84, 7: 54, 10: 30, 8: 28, 9: 24, 12: 11, 11: 11, 13: 11, 16: 10, 15: 8, 14: 6, 17: 4, 22: 4, 19: 3, 25: 2, 38: 2, 18: 2, 21: 2, 35: 2, 26: 2, 708: 1, 194: 1, 39: 1, 51: 1, 118: 1, 229: 1, 70: 1, 109: 1, 45: 1, 20: 1, 23: 1, 27: 1})",2076,312,101,0,1,0
243510,0.9917867849369636,0.8512568793693293,0.956,0.639,"Counter({2: 1046, 3: 505, 4: 323, 5: 254, 6: 77, 7: 60, 8: 35, 9: 21, 10: 19, 11: 14, 15: 9, 17: 8, 12: 8, 14: 6, 13: 5, 16: 5, 19: 5, 22: 4, 27: 3, 21: 3, 26: 2, 23: 2, 31: 2, 18: 2, 1099: 1, 127: 1, 222: 1, 38: 1, 51: 1, 36: 1, 37: 1, 48: 1, 24: 1, 49: 1, 42: 1, 25: 1, 44: 1, 20: 1})",2128,304,125,0,1,0
245642,0.9925338500744987,0.8788159111933396,0.962,0.678,"Counter({2: 1175, 3: 556, 4: 348, 5: 314, 6: 80, 7: 51, 8: 31, 10: 30, 9: 21, 11: 16, 13: 8, 12: 8, 17: 6, 16: 4, 22: 4, 20: 3, 14: 3, 24: 3, 19: 3, 15: 3, 18: 3, 28: 2, 27: 2, 531: 1, 29: 1, 52: 1, 204: 1, 39: 1, 50: 1, 23: 1, 32: 1, 25: 1, 83: 1, 40: 1, 33: 1, 31: 1, 21: 1, 1: 1})",2394,295,107,0,3,0
247781,0.9934417893220223,0.901449451149251,0.969,0.725,"Counter({2: 1249, 3: 626, 4: 386, 5: 341, 6: 82, 7: 53, 8: 35, 10: 27, 9: 20, 13: 11, 12: 9, 11: 8, 16: 8, 15: 6, 18: 4, 22: 3, 23: 3, 19: 2, 223: 1, 39: 1, 46: 1, 42: 1, 25: 1, 29: 1, 77: 1, 24: 1, 36: 1, 114: 1, 90: 1, 14: 1})",2602,283,96,0,1,0
